,infrastructure damaged - road,District,Number,Details,,,,,,Date
0,,Dhemaji,1,"Gogamukh - PWRD Road, Gogamukh Chariali to Borbam Abandant | Erosion occurred at Ch.5500.00 m. | Erosion occurred at Ch.5500.00 m of Gogamukh Chariali to Borbam Abandant road under PWRD, Dhemaji Territorial Road Division. Dated 10/10/2022. | (Long - 94.302936, Lat - 27.390072)",,,,,,10-10-2022
1,,Total,1,,,,,,,10-10-2022
