,infrastructure damaged - road,District,Number,Details,,,,,,,,Date
0,,Bongaigaon,3,"Manikpur - NH 31 Manikpur College to Bhatipara Khoribari Road | Manikpur | Road Surface including side slope damaged at 1st km and 2nd km. as per report received PWRD, Bongaigaon date-25.09.2022 | (Long - 90.795809, Lat - 26.473565),  Srijangram - Chakla Kokila PWD Road South Numberpara Road | Chakla | Road surface including side slope damaged at 1st, 2nd & 3rd KM. as per report received from PWRD, Bongaigaon date- 05/09/2022 | (Long - 90.832950, Lat - 26.363183),  Chakla Golapara Road | Golapara | Road surface including side slope damaged at 1st & 2nd KM. as per report received from PWRD, Bongaigaon date- 05/09/2022 | (Long - 90.832040, Lat - 26.390750)",,,,,,,,05-09-2022
1,,Udalguri,2,"Kalaigaon - Kabirali to Kundarbil road near Kabirali market area | Kabirali | The road has deteriorated due to constant woterlogging whenever it rains as reported on 05/09/2022 covering a length of around 400 meters and breadth of 10 meters | (Long - 92.012948, Lat - 26.640863),  Mazbat - Village Khagrabil to Uttar Nagaon | Khagrabil village | As per report received from Office of the Assistant Executive Engineer PWD, Mazbat on 5th September, the road connecting village Khagrabil to Uttar Nagaon has been damaged on 1/7/2022. Length- 10 meter(Approx) | (Long - 92.219375, Lat - 26.775402)",,,,,,,,05-09-2022
2,,Total,5,,,,,,,,,05-09-2022
