,infrastructure damaged - road,District,Number,Details,Date
0,,Bajali,47,"Sarupeta - Rahmat Bazar to Moinamoti Bazar road | Dolopather | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.129653, Lat - 26.530061),  NH-31(kujarpith kaljhar Bridge) to Galia sukmanah road | Kujarpit | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.036667, Lat - 26.433882),  Dularvitha ME school to Duisatini Bazar(Gohai kamal Ali Road). | Dhupalpara | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.020078, Lat - 26.466538),  Sarupeta Circle Office to Bhalguri road | Sarupeta Town , Bhalaguri | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.060277, Lat - 26.497357),  Batua to Sarupeta (Ojasastra) via Manas road submreged. | Sarupeta | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.100005, Lat - 26.501508),  BB road to Gathiyapara via Dangarpara road | Dakhinhathi, Gathiapara | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.070141, Lat - 26.445654),  Bhawanipur Simlaguri road | Haripur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.025776, Lat - 26.462533),  Bhawanipur Madhapur Road | Nij Bhawanipur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.084720, Lat - 26.457749),  MPNA road to Galia Sukmanah road. | Sukmanah | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.024305, Lat - 26.445211),  NH-31 to Madhya Tangla road | Tangla | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.124908, Lat - 26.486465),  Rajakhat Barsimla road | Rajakhat , Balapara .Dhumarkur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.120147, Lat - 26.479085),  NH-31 Rajakhat to Barsimla road via Dhumarkur Bazar road | Rajakhat , Barsimla , Dhumarkur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.116612, Lat - 26.478800),  Rajakhat to Barsimla road to Mora pahumara via Dakhin Tangla | Barsimla , Dakhin Tangla | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.120135, Lat - 26.479058),  NH-31 to Charalpara Embankment road | Charalpara | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.121008, Lat - 26.486757),  NH-31 to Choudhury Para Namghar road . | Maj Hathi | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.065433, Lat - 26.457776),  Bhawanipur Simlaguri road | Haripur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.061857, Lat - 91.061857),  Charalpara Dumuria road | Charalpara , Dumuria | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.138677, Lat - 26.501822),  NH-31 to Dennartary (Charalpara)road | Charalpara | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.121768, Lat - 26.496107),  Bhawanipur Gopal Ata Satra Road | Haripur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.048483, Lat - 26.474535),  Puthimari to Darupara PMGSY road AS-01-321 road | Puthimari , Darupara | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.130740, Lat - 26.566369),  Sukmanah Bazar to Sukmanah Golia PMGSY | Sukmanah | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.021150, Lat - 26.448002),  Sukmanah Bazar road | Sukmanah | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.018655, Lat - 26.443967), Sukmanah MPNA road | Sukmanah | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.025273, Lat - 26.436499),  Cheki PHC to Sauliabori Road | Cheki , Sauliabori, Moirambhita | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.124300, Lat - 26.544914),  RCC Br. No 2/1 on Ulartary to Hakartup over Moina Jan (Bamunkutni Jan) | Hokartup | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.133633, Lat - 26.587891),  Swahid Khargeswar Talukdar Road | Borbori | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.110705, Lat - 26.560038),  Sarupeta Circle office to Bhalaguri Road PMGSY (Package No. AS-01-361) | Sarupet Town, Bhallaguri | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.032615, Lat - 26.498423),  Bhwanipur Madhapur Road (Package No. AS-01-362) | Nij Bhawanipur, Madhapur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.082270, Lat - 26.458335),  Borkur Hathinapur Road (Package No. AS-01-363) | Barkur , Hathinapur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.137005, Lat - 26.509883),  Bhawanipur Manas Road | Bhawanipur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.068273, Lat - 26.473285),  Majgaon Kaljhar PMGSY Road to Sukmanah MPNA Road | Majgaon , Kaljar | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.020554, Lat - 26.440470),  Kaljhar Majgaon Road to MPNA Road via Kaurpara Road submerged | Kaurpara | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.025153, Lat - 26.436457),  Bhawanipur Bhuyanpara Road to Purnima Swargiary Memorial Road including Link Road at Madhapur Boro Chupa to Rupahi River Embankment & Dhumarpathar G.P.Office Road | Madhapur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.106450, Lat - 26.660430),  Sankar Bazar to Barpeta Road via Bilashipara | Gomura | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.034017, Lat - 26.517586),  Jamartal to Dairabori Road | Dairabori , Nij Bhawanipur | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.075896, Lat - 26.437292),  Banglipara Madan Mohan Gohai Than Approach Road | Banglipara | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.086907, Lat - 26.472191),  NH-31 to Dhumarkur Sonafully Road via Kurobaha | Kurobaha | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 26/6/2022 | (Long - 91.104949, Lat - 26.481734),  Bajali - Joynal Abedin house to END Mathausri. | Dhumarpathar | affected length 40m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  HPC Culvert to Mofijuddinhouse | Dhumarpathar | affected length 50m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  Azahar ali house to END Mathausri | Halongbari | affected length 30m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  END Matausri to Eyakub Ali house | Silapatni | affected length 35m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  Sambhu Mandal house to END Mathauri | Halongbari | affected length 50m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  Azahar Ali house to Abdul houqe house | Chenglimari | affected length 60m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  End mathauri to abdul hussain house | Chenglimari | affected length 27m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  Sapan house to end mathauri | panpara | affected length 39m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  Kumar house to eyaz hussain house house | panpara | affected length 64m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000),  MD Ali house to Chan mamud ali house | Batiyamari | affected length 32m.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022. | (Long - 0.000000, Lat - 0.000000)",27-06-2022
1,,Dhubri,4,Agamoni - SIDE BERM DAMAGED ON BELGURI SATRASAL ROAD TO PABORCHARA AT 1ST KM Dtd. 16/06/2022 to 20/069/2022 | BELGURI SATRASAL ROAD TO PABORCHARA AT,27-06-2022
2,,,,"1ST KM | | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGED FROM CHAGOLIA TO BIDYARDABRI VIA BAPUJI MV SCHOOL AT 1ST & 2ND KM Dtd. 16/06/2022 to 20/069/2022 | CHAGOLIA TO BIDYARDABRI VIA BAPUJI MV SCHOOL AT 1ST & 2ND KM | | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGED FROM NH-31 TO KALDOBA AT 1ST KM Dtd. 16/06/2022 to 20/069/2022 | NH-31 TO KALDOBA AT 1ST KM | | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGED FROM KGT ROAD TO JHAPUSABARI AT 1st KM Dtd. 16/06/2022 to 20/069/2022 | KGT ROAD TO JHAPUSABARI AT 1st KM Dtd. 16/06/2022 to 20/069/2022 | | (Long - 0.000000, Lat - 0.000000)",27-06-2022
3,,Jorhat,2,"Titabor - Tanti Gaon Tekela Gaon Road | Tekela Gaon | Distance of Road : 140 M Source : WT message by PWD Roads, Jorhat, Dergaon & Titabor Territorial Division Dated : 26/05/2022 | (Long - 94.133288, Lat - 26.579674),  Chungi Road | Chungi Gaon | Distance of Road :125 M Source : WT message by PWD Roads, Jorhat, Dergaon & Titabor Territorial Division Dated : 26/05/2022 | (Long - 94.132361, Lat - 26.580888)",27-06-2022
4,,Kamrup,4,"Kayan - Gorput Garamsung Vithera Road to Baralia Embankment (80 m breach with one slab culvert damaged and side berm eroded). Date: 16/06/2022. | Vithera. Reported by PWRD, Jalukbari & Hajo Territorial Road Division on 26/06/2022. | GPS co-ordinates couldn't be provided by the respective department at the moment. | (Long - 0.000000, Lat - 0.000000),  Kamalpur Morowa Road to Chamukha via Sepon L.P School (70 m breach and side berm eroded). Date: 16/06/2022. | Sepon. Reported by PWRD, Jalukbari & Hajo Territorial Road Division on 26/06/2022. | GPS co-ordinates couldn't be provided by the respective department at the moment. | (Long - 0.000000, Lat - 0.000000),  Souramuri Road (50 m breach with culvert damaged and side berm eroded). Date: 16/06/2022. | Souramuri. Reported by PWRD, Jalukbari & Hajo Territorial Road Division on 26/06/2022. | GPS co-ordinates couldn't be provided by the respective department at the moment. | (Long - 0.000000, Lat - 0.000000),  Dhuhi Higher Secondary Road (Road surface damaged). Date: 16/06/2022. | Dhuhi. Reported by PWRD, Jalukbari & Hajo Territorial Road Division on 26/06/2022. | GPS co-ordinates couldn't be provided by the respective department at the moment. | (Long - 0.000000, Lat - 0.000000)",27-06-2022
5,,Kokrajhar,17,"Gossaigaon - PADMABIL VILLAGE ROAD | PADMABIL | AS PER REPORTED BY ASSTT. EXE. ENG. PWD GOSSAIGAON RR SUB-DIVISION ON 18-06-2022, ERRODED IN SOME STRETCHES ON NH31C TO PADMABIL VILLAGE ROAD | (Long - 0.000000, Lat - 0.000000),  DK ROAD | KAMARPARA | AS PER REPORTED BY ASSTT. EXE. ENG. PWD GOSSAIGAON RR SUB-DIVISION ON 18-06-2022, ERRODED IN SOME STRETCHES ON DK ROAD TO KAMARPARA AT CH30M TO CH300M | (Long - 0.000000, Lat - 0.000000),  (Kokrajhar) At District - JIAGURI ROAD | JIAGURI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 20-06-2022, IMMEDIATE RESTORATION OF SUBMERGED & ERRODED FROM 1ST KM TO 4TH KM IN STRETCHES ON NH31C TO JIAGURI | (Long - 0.000000, Lat - 0.000000),  LOTAMARI ROAD | LOTAMARI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 20-06-2022, IMMEDIATE RESTORATION OF SUBMERGED FROM 1ST KM TO 3RD KM ON LOTAMARI TO HAIJRAI ROAD | (Long - 0.000000, Lat - 0.000000),  SARABIL ROAD | SARABIL | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 20-06-2022, IMMEDIATE RESTORATION OF SUBMERGED & DAMAGED ROAD FROMATION & SPT BRIDGE NO. 2/2 PARTIALLY DAMAGED ON GURUFELA SARAIBIL ROAD TO LALPUR | (Long - 0.000000, Lat - 0.000000),  KATHALGURI ROAD | KATHALGURI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 20-06-2022, IMMEDIATE RESTORATION OF SPT BRIDGE NO. 3/1 & ROAD FORMATION DAMAGED ON NH 31C AT KATHALGURI TO SALBARI | (Long - 0.000000, Lat - 0.000000),  JALESWARI ROAD | JALESWARI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 20-06-2022, IMMEDIATE RESTORATION OF JALESWARI TO PATHWIBARI VILLAGE ROAD 300M SUBMERGED FROM 1ST KM | (Long - 0.000000, Lat - 0.000000),  NOBINAGAR ROAD | NOBINAGAR | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 20-06-2022, IMMEDIATE RESTORATION OF NOBINAGAR VILLAGE ROAD 250.00M SUBMERGED | (Long - 0.000000, Lat - 0.000000),  KARIKOR ROAD | KARIKOR | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 20-06-2022, IMMEDIATE RESTORATION OF KARIKOR TO CHURCH ROAD AT CH 720M COMPLETELY WASHED OUT | (Long - 0.000000, Lat - 0.000000),  KASHIBARI BALAGAON PWD ROAD | KASHIBARI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 20-06-2022, IMMEDIATE RESTORATION OF KASHIBARI BALAGAON PWD ROAD TO BURACHAR RIVER VIA CHIRUGHUTU LPS ROAD FORMATION FULLY DAMAGED OF 1NOS. OF HP CULVERT | (Long - 0.000000, Lat - 0.000000),  GOSSAIGAON SAPATGRAM ROAD | SAPATGRAM | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, GOSSAIGAON SAPATGRAM TO GUABARI VIA DALGAON ROAD HAS BEEN WASHOUT IN SOME STRECHES OF ROAD |",27-06-2022
6,,,,"(Long - 0.000000, Lat - 0.000000),  MALAGURI ROAD | MALAGURI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, MALAGURI DINGKIDOBA ROAD TO RAVAPARA CULVERT NO. 1/1 AND ROAD HAS BEEN DAMAGED | (Long - 0.000000, Lat - 0.000000),  ROY BOSTI ROAD | PANOWARI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, PANOWARI ROY BOSTI ROAD HAS BEEN DAMAGED | (Long - 0.000000, Lat - 0.000000),  CHAKMA ROAD | CHAKMA | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, CHAKMA TO SAMUJHORA ROAD HAS BEEN ERRODED IN SOM STRETCHES | (Long - 0.000000, Lat - 0.000000),  KACHUA CHAIRALI ROAD | PANIJANI GHOP | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, KACHUA CHARIALI PANIJANI GHOP ROAD HAS BEEN ERRODED | (Long - 0.000000, Lat - 0.000000),  SAMABAI ROAD | SAMABAI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, ROAD HAS BEEN ERRODED AT CH 1200M TO 1450M ON BHOWRAGURI SAMABAI TO SALBARI ROAD | (Long - 0.000000, Lat - 0.000000),  TARANGURI BAZAR ROAD | TARANGURI | AL REPORTED BY CO, KOKRAJHAR ON 25.06.2022, TARANGURI BAZAR PWD MAIN ROAD UTTAR DOBRAGAON TO RAYPARA WAS DAMAGED | (Long - 0.000000, Lat - 0.000000)",27-06-2022
7,,Morigaon,1,"Morigaon - Boghora Damal Ahatguri (BDA) road (24-06-2022) | Baghara | As per PWD ROADS, Boghora Damal Ahatguri (BDA) road submerged at 16th and 17th KM | (Long - 92.406716, Lat - 26.176119)",27-06-2022
8,,Nagaon,1,"Nagaon - Haiborgaon Senchuwa Moamari Kuhbebejia road | Haiborgaon Senchuwa Moamari Kuhbebejia road | Haiborgaon Senchuwa Moamari Kuhbebejia road,submerged/damaged, Length-4th to 7km,dated 27/06/2022, reported by Nagaon Territorial Road Sub-Division , Nagaon | (Long - 0.000000, Lat - 0.000000)",27-06-2022
9,,Udalguri,3,"Mazbat - Gelabil to Mazbat road | Gelabil | Erosion occurred on Mazbat to Gelabil road at about 100.00M on 25/6/2022 | (Long - 92.282579, Lat - 26.774588),  Nh-15 to Gariapathar road | Gariapthar | Erosion occurred on road connecting NH-15 to Gariapathar on 25/6/2022 | (Long - 92.391640, Lat - 26.638830),  Mazbat to Deochani road | Deochani village | Erosion occurred at Mazbat to Deochani village connecting road on 25/6/2022 at around 350.00M fall width. | (Long - 92.332017, Lat - 26.857267)",27-06-2022
