,infrastructure damaged - road,District,Number,Details,,,,,,Date
0,,Morigaon,2,"Mayong - Hariabori SC village to Tetelitol | submerged at 1st and 3rd km | As reported by EE PWD Morigaon District Territorial Road Division on 15/10/2022 | (Long - 92.200000, Lat - 26.251000),  Morisutitup to 1no Murkata road | 5th km submerged | As reported by EE PWD Morigaon District Territorial Road Division on 15/10/22 | (Long - 92.043000, Lat - 26.269900)",,,,,,15-10-2022
1,,Total,2,,,,,,,15-10-2022
