,infrastructure damaged - road,District,Number,Details,,,,,,Date
0,,Kokrajhar,3,"Bagribari - 1. KHORAGHAT JALABILA ROAD | BAGRIBARI | AS REPORTED BY ASSTT. EXE. ENG. , PWD GOSSAIGAON RURAL ROAD SUB-DIVISION, GOSSAIGAON RECEIVED ON 15/10/2022, KHORAGHAT JALABILA ROAD BRIDGE NO. 2/1 SUBWAY HAS BEEN WASHOUT | (Long - 0.000000, Lat - 0.000000),  2. KHORAGHAT JALABILA ROAD | BAGRIBARI | AS REPORTED BY ASSTT. EXE. ENG. , PWD GOSSAIGAON RURAL ROAD SUB-DIVISION, GOSSAIGAON RECEIVED ON 15/10/2022, KHORAGHAT JALABILA ROAD AT CH.1000.00M HAS BEEN DAMAGED | (Long - 0.000000, Lat - 0.000000),  3. MAHAMAYA TIPKAI ROAD | BAGRIBARI | AS REPORTED BY ASSTT. EXE. ENG. , PWD GOSSAIGAON RURAL ROAD SUB-DIVISION, GOSSAIGAON RECEIVED ON 15/10/2022, MAHAMAYA TIPKAI ROAD AT CH.0.00M TO CH.500.00M ROAD SURFACE HAS BEEN DAMAGED | (Long - 0.000000, Lat - 0.000000)",,,,,,16-10-2022
1,,Total,3,,,,,,,16-10-2022
