,infrastructure damaged - road,District,Number,Details,Date
0,,Bajali,2,"Bajali - PIPLA TO MADURI CHOWK | PIPLA | 100 METER EROSION AT ROAD SIDE.REPORT RECEIVED FROM PWD ROADS ON 15/06/2022 | (Long - 91.220404, Lat - 26.532736),  PATACHARKUCHI TO NITYANANDA | KUWARA | 100 METER EROSION AT ROAD SIDE.REPORT RECEIVED FROM PWD ROADS. ON 15/06/2022 | (Long - 91.226565, Lat - 26.526588)",15-06-2022
1,,Baksa,7,"Jalah - Barpetaroad to Manas national Park pwd road | At kutlijhar village, the left side of the road is breach out on 15/06/2022 | | (Long - 0.000000, Lat - 0.000000),  Simlaguri to Bahbari village road on 15/06/2022 | At bahbari ,the village road is breach out dated 15/06/2022 | | (Long - 0.000000, Lat - 0.000000),  At Rupohi one side of the road adjacent to Rupohi bridge was breach out, which is reentered successfully by PWD Salbari on 15/06/2022 | At Rupohi | | (Long - 0.000000, Lat - 0.000000),  At kalpani approx 250m of north side adjacent road of Kalpani bridge breach out and reentered work has been continuing by PWD, Salbari 15/06/2022 | At Kalpani | | (Long - 0.000000, Lat - 0.000000),  Baganpara - 1. Garbhitor to Bherbheri road | 1. Garbhitor | Road is damaged in several areas and also eroded. Dated 15/06/2022 | (Long - 91.291700, Lat - 26.335400),  2. Ghoramara to Jartaluk road | Jartaluk | Road is affected due to breached of bamboo foot bridge dated 15/06/2022 | (Long - 91.292600, Lat - 26.354100),  Baska - Ulubari to Sadherisupa road | Ulubari | Road completely breached at village Ulubari on 15/06/2022 | (Long - 26.624224, Lat - 19.250093)",15-06-2022
2,,Barpeta,6,"Barpeta - Jaharpam Garemari Bazar Road | Jaharpam | Hard crust damage 60.00 m PWRD Barpeta 15.06.2022 | (Long - 90.957797, Lat - 26.332419),  Palahortol Bazar to Balartari Bazar road | Palahartal | Submerged at existing breach portion 60.00 m PWRD Barpeta 15.06.2022 | (Long - 91.030699, Lat - 26.327258),  Guwagacha to Gandaripara Road (Guwagacha to Moirajhar Fazal Kha Chariali Road) | Guwagacha | Side berm eroded & hard crust damage 150.00 m PWRD Barpeta 15.06.2022 | (Long - 91.008513, Lat - 26.498637),  Suhabil dolony to Belortary road | Suhabil Dolony | Road submerged 20.00 m PWRD Barpeta 15.06.2022 | (Long - 91.069032, Lat - 26.254514),  Moiramara Fulkipara Road | Mairamara | Hard crust damage 120.00 m PWRD Barpeta 15.06.2022 | (Long - 90.966624, Lat - 26.414195),  Sarthebari - Pahumara RCC Bridge to Bhakuamari connecting PMGSY road | Kayakuchi Pathar ( Uttar Chupa ) | The Road eroded by Pahumara river at near Habibur Rahman house approx. 90 mtr. ( Reported By BDO, Pakabetbari Dev. Block on 15.06.2022 ) | (Long - 0.000000, Lat - 0.000000)",15-06-2022
3,,Bongaigaon,18,"Boitamari - Kheluapara Sutirmukh road | Kheluapara | Road embankment damaged at ch. 2nd km. as per report received from PWRD, Bongaigaon date-15.06.2022 | (Long - 90.461669, Lat - 26.264849),  Jogighopa Salbari Road | Jogighopa | Water stagnant at 2nd km. as per report received from PWRD, Bongaigaon date-15.06.2022 | (Long - 90.570882, Lat - 26.248508),  Bongaigaon - Kashidoba kakoijana Road | Kashidoba | Road embankment eroded by rive kujia at 4th km. As per report received from PWRD, Bongaigaon date- 15.06.2022. | (Long - 90.624314, Lat - 26.411992),  Majgaon Nigamghola Road | Nigamghola | Shoulder damaged at Ch.1500.00m to Ch. 3000.00m. As per report received from PWRD, Bongaigaon date- 15.06.2022 | (Long - 90.573308, Lat - 26.415242),  Bongaigaon College to Dolaigaon Road | Dolaigaon | Road surface damaged and water stagnant at various stretches from Ch. 0.00m to Ch.200.00m. As per report received from PWRD, Bongaigaon date- 15.06.2022 | (Long - 90.538297, Lat - 26.484983),  Bhowlaguri to SH-2 via Dosimapara | Bhowlaguri | Shoulder damaged at Ch.4100.00m. As per report received from PWRD, Bongaigaon date- 15.06.2022 | (Long - 90.521177, Lat - 26.457164),  Hatimutra Bakharapara Road | Hatimutra | Shoulder damaged at Ch. 450.00m. As per report received from PWRD, Bongaigaon date- 15.06.2022 | (Long - 90.576147, Lat - 26.433938),  Dangtol - Talguri Basugaon Road | Talguri | Side berm and a potion of road eroded by heavy rain at 11th km.As per report received from PWRD, Bongaigaon date- 15.06.2022. | (Long - 90.447231, Lat - 26.406597),  Manikpur - Gerukabari Jamdoha PMGSY (Package No AS-25-98) | Gerukabari | Nature of damaged- Road submerged from Ch. 750.00 m to Ch. 800.00 m. Submerged depth 30 cm. Breached occurs at Ch. 800 m to Ch. 810.00 m and damaged hard crust side berm and side slope. As per report received from PWRD, Bongaigaon date-15.06.2022 | (Long - 90.701809, Lat - 26.451709),  Dagaigaon Kirtanpara Road | Dagaigaon | Water logging including depression on raod surface occurred. Hard crust damaged badly from Ch. 900.00 m to Ch. 1200.00 m. As per report received from PWRD, Bongaigaon date-15.06.2022 | (Long - 90.736398, Lat - 26.441762),  Hapachara Borbila Nachanguri Road | Hapachara | Nature of damage-Bridge approach damaged of Br. No 1/1 at ch 900.00 m including damaged of side berm and side slopes at several stretches of the road, the road submerged at ch 1870.00 m to Ch. 2000.00 m with submerged depth 15.cm. As per report received from PWRD, Bongaigaon date-15.06.2022 | (Long - 90.683077, Lat - 26.468067), Chakla to Kirtanpara Road | Chakla | Nature of Damage- Approach of RCC Br. No. 5/1 damaged at Ch. 4450.00 m to Ch. 5550.00 m. As per report received from PWRD, Bongaigaon date-15.06.2022 | (Long - 90.803751, Lat - 26.385651),  Srijangram - Kabaitary Abhayapuri Road | Kabaitary | Landslide occurred at 10th km and damaged road side drain. As per report received from PWRD, Bongaigaon, date- 15.06.2022 | (Long - 90.547647, Lat - 26.271509),  Kokila Bazar to Guniaguri Bazar Road | Kokila | Road surface damaged and create heavy depression, communication disrupted at 1st km. As per report received from PWD, Bongaigaon date-15.06.2022 | (Long - 90.839894, Lat - 26.360108),  Simlabari Parepare PMGSY raod( Package No. AS-02-161) | Simlabari | Side berm and side slopes of Br. Approach at Ch. 190.00m damaged.As per report received from PWD, Bongaigaon date-15.06.2022 | (Long - 90.382200, Lat - 26.241600),  Tulungia Borghola Road | Tulungia | Road surface including Culvert damaged at ch 8700.00 m at pakhriguri. As per report received from PWD, Bongaigaon date-15.06.2022 | (Long - 90.422300, Lat - 26.231800),  Tulungia Borghola road (Hill portion) | Borghola | Road shoulder and side slopes damaged at several stretches from ch. 4300.00 m to Ch.4500.00 m. As per report received from PWD, Bongaigaon date-15.06.2022 | (Long - 90.451000, Lat - 26.262400),  Nowagaon Rangapani Road | Rangapani | Road surface damaged between Ch. 15700.00 m to Ch. 16000.00 m. As per report received from PWD, Bongaigaon date-15.06.2022 | (Long - 90.786368, Lat - 26.326881)",15-06-2022
4,,Cachar,1,"Katigorah - S.J. Road | S.J. Road to Govt. Model College, Borkhola | Immediate Restoration of Approach Road from S.J. Road to Govt. Model College Borkhola, 1000 Mtr. dated 18.03.2022. As per report received from PWD Borkhola & Katigorah (T) Road Division, as on dated 14.06.2022 | (Long - 0.000000, Lat - 0.000000)",15-06-2022
5,,Chirang,4,"Sidli - 1) Gendargaon to Hegurmari Road | Gendergaon | As reported by PWD Chirang (R&B) Division, Road embankment breached out at Gendergaon on 15-06-2022. Damage Details: Length : 31 m, Breadth : 8 m, Depth : 2.8 m. | (Long - 90.413247, Lat - 26.543586),  2) No.2 Gwjwnpuri village road | Chapaguri | As reported by PWD Chirang (R&B) Division, Road Surface damaged at Chapaguri on 15-06-2022. Damage Details: Length : 20 m, Breadth : 2.5 m, Depth : 0.5 m. | (Long - 90.549504, Lat - 26.501570),  3) Dwimuguri to Polashguri road | Kajalgaon | As reported by PWD Chirang (R&B)Division, RCC Culvert approach Eroded at Kajalgaon on 15-06-2022. Damage Details: Length : 8 m, Breadth : 6 m, Depth : 1.5 m | (Long - 90.487260, Lat - 26.525209),  Bengtal - Banduguri village road | Banduguri | Banguguri village road Erosion at Banduguri on 15-06-2022, Damage Details: Length-3m Breadth- 1m Depth-. 3m. | (Long - 90.390682, Lat - 26.621567)",15-06-2022
6,,Darrang,1,"Patharighat - Piprakuchi Singkuchi Road | piprakuchi | submerged at length L=100 m Ch 50 mt to 150 mt depth 0.30 mt as on 15-06-2022. | (Long - 91.913420, Lat - 26.441557)",15-06-2022
7,,Dhemaji,2,"Sissiborgaon - PWD road Garumarakhuti to Bangalmari Jail | Garumarakhuti to Bangalmari Jail | Road damaged from ch.0.00 to ch 450.00 around 450.00 Meters on 14-06-2022 | (Long - 94.636615, Lat - 27.612637),  PWD road Kulajan Kebarangga to Singibeel road | Kulajan Kebarangga to Singibeel road | Road Damaged the Side shoulder and Road Embankment from Ch.5000.00 M to Ch.5100.00 M at Up- Stream Side around 100.00Meters by the river Tangani on 15-06-2022 | (Long - 95.709632, Lat - 27.485841)",15-06-2022
8,,Goalpara,7,"Balijana - Karbala Govindapur PWD Road to Karbala Govindapur PWD Road via Rahmatpur LP School | Rahmatpur | Date of occurrence- 14.06.2022 Length affected- 0.450 KM Average depth of submergence- 2.000 m Traffic Disrupted from 12.06.2022 to 13.06.2022 Road side Berm, Embankment, GSb layer are damaged Information received from- Dudhnoi & Goalpara East Territorial Roads Division. | (Long - 90.597396, Lat - 26.176221),  FCI Godown to Mariyamnagar Holy child School Road | Mariyamnagar | Date of occurrence- 15.06.2022 Length affected- 0.100 KM Average depth of submergence- 0.300 m Traffic Disrupted from 15.06.2022 till now Road submerged till now Information received from- Dudhnoi & Goalpara East Territorial Roads Division. | (Long - 90.624627, Lat - 26.148975),  Matia - Bongaon to Bamunipanikhowa Road | Bongaon | Total affected length = 0.200 Km and average depth of submergence = 0.300 m (as on 15/06/2022) as received from PWRD, Dudhnoi & Goalpara East Territorial Road Division, Goalpara. | (Long - 90.665775, Lat - 25.951535),  Lakhipur - Lakhipur to Khalisavhita Road | Near Khalisabhita | As per report of PWD roads department, 5.20 KM Lakhipur to Khalisavhita road affected due to overflowing Rain water. From 14.06.2022 to till date i.e 15.06.2022 | (Long - 90.280501, Lat - 26.019719),  Fulgassa Gossaidubi Road | Near Gossaidubi Bazar | As per report of PWD roads department, 0.01 KM Fulgassa Gossaidubi road affected due to overflowing Rain water. From 14.06.2022 to till date i.e 15.06.2022 | (Long - 90.201388, Lat - 25.967164),  Morichbari to Bausatary Road | Near Morichbari Bazar | As per report of PWD roads department, 0.11 KM Morichbari to Bausatary road affected due to overflowing Rain water. From 14.06.2022 to till date i.e 15.06.2022 | (Long - 90.187805, Lat - 25.994471),  Gossaidubi to Haruafuta Road | Near Haruafuta | As per report of PWD roads department, 0.25 KM Gossaidubi to Haruafuta Road affected due to overflowing Rain water. From 14.06.2022 to till date i.e 15.06.2022 | (Long - 90.194200, Lat - 26.001626)",15-06-2022
9,,Kamrup,6,"Kamalpur - Bihdia Saledal PHC Road | Vill-Bihdia | Submerged length 550M Depth of Submergence 0.45M on 14.06.2022 as per report of the Executive Engineer PWD North KMP Territorial Road Sub Division Rangia | (Long - 26.407231, Lat - 91.735505),  Kamalpur Borka Road | Vill- Borka | Submerged length 500M Depth of Submergence 0.30M on 14.06.2022 as per report of the Executive Engineer PWD North KMP Territorial Road Sub Division Rangia | (Long - 26.289609, Lat - 91.666904),  Athgaon Bahbori to Kabila road | Vill-Athgaon | Submerged length 200M Depth of Submergence 0.40 M on 14.06.2022 as per report of the Executive Engineer PWD North KMP Territorial Road Sub Division Rangia | (Long - 26.298000, Lat - 91.631076),  Kendukuna Panitema road | Vill-Kendukuna | Erosion of embankment cum shoulder at ch. 10500M for a length of 15 M on 14.06.2022 as per report of the Executive Engineer PWD North KMP Territorial Road Sub Division Rangia | (Long - 26.297592, Lat - 91.639205),  Dorakohora to Bhitorkhola road | Vill-Dorakohora | Damaged length 15M at ch. 230 M on 14.06.2022 as per report of the Executive Engineer PWD North KMP Territorial Road Sub Division Rangia | (Long - 26.297436, Lat - 91.717172),  Deuduar to Doloipeath Village road | Vill-Deuduar | Damaged length 150M at different stretches on 14.06.2022 as per report of the Executive Engineer PWD North KMP Territorial Road Sub Division Rangia | (Long - 26.297592, Lat - 91.639205)",15-06-2022
10,,Lakhimpur,2,"Nowboicha - Pohumora to Pakania Road | Bamungaya | Pohumora to Pakani Road. Flood water overtopped from CH:10000m to CH:10600 m as reported by Nowboicha, Bihpuria, and Lakhimpur Territorial Road divn. on 15.06.2022. | (Long - 0.000000, Lat - 0.000000),  Pandhowa to Mohghuli Road. | Pandhowa | Pandhowa to Mohghuli Road. Flood water overtopped from CH:1400m to CH:1860m. Average depth- 45.00cm. Erosion occurred at CH:1500m to CH:1530m and from CH:1670m to CH:1700m as reported by Nowboicha, Bihpuria, and Lakhimpur Territorial Road divn. on 15.06.2022. | (Long - 0.000000, Lat - 0.000000)",15-06-2022
11,,Nalbari,6,"Banekuchi - Mohan Bazar to Nalbari PWD Road submerged approx 300 Mtr. | Vill : Balizar | As reported by Gaon Pradhan of Balizar Village on 15/06/2022 Mohan Bazar to Nalbari PWD Road submerged approx. 300 Mtr. | (Long - 0.000000, Lat - 0.000000),  Barpit to Haribhanga road | Vill - Sandheli | As reported by Gaon Pradhan of Sandheli village on 15/06/2022 Barpit to Haribhanga road submerged approx. 250 mtr. | (Long - 0.000000, Lat - 0.000000),  Mohan Bazar to Banekuchi Circle office PWD road | Vill - Rajakhat Banekuchi | As reported by Gaon Pradhan of Rajakhat Banekuchi village on 15/06/2022 Mohan Bazar to Banekuchi Circle office PWD road submerged approx. 150 mtr. | (Long - 0.000000, Lat - 0.000000),  Ghograpar - GOHAIN KAMAL ROAD | DHAMDHAMA | As per PWRD report , on 15/06/2022 Gohain Kamal road has been submerged, Length - 2500 M | (Long - 0.000000, Lat - 0.000000),  Rangia Dhamdhama Road | Dhamdhama | As per PWRD report , on 15/06/2022 Rangia Dhamdhama Bridge approch Road has been submerged, Length - 300 M | (Long - 0.000000, Lat - 0.000000),  Bhelamari to Chataibari Road | Bhelamari | As per PWRD report , on 15/06/2022Bhelamari to Chataibari Road has been submerged, Length - 1500 M | (Long - 0.000000, Lat - 0.000000)",15-06-2022
12,,South Salmara,1,"South Salmara - South Salmara platform to Eidgha road. | South Salmara | As per field visit by Field Officer (DM), South Salmara Rev. Circle of South Salmara platform to Eidgha road has been damage from length 10 M due to heavy rainfall on 15/6/22. | (Long - 90.014000, Lat - 25.887000)",15-06-2022
13,,Udalguri,1,"Kalaigaon - MB Road near Kaligaon Radha Govinda Mandir | No 2 Singrimari | The road has damaged due to overflowing of flood water from river Noa and water-logging due to absence of proper drainage system at village No 2 Singrimari on 15/06/2022 covering a length of around 100 meters, breadth of 10 meters and depth of 3 meters. | (Long - 91.980958, Lat - 26.567323)",15-06-2022
14,,Total,64,,15-06-2022
