,infrastructure damaged - road,District,Number,Details,Date
0,,Bajali,3,"Sarupeta - Jamartal to Dairabori village road | Dairabori | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 28/6/2022 | (Long - 91.075870, Lat - 26.437490),  Madhapur chaporbori PWD road. | Dakhinhati | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 28/6/2022 | (Long - 91.084720, Lat - 26.457740),  Rahmat bazar to charalpara road via dolor pathar | Kurobahagaon | Road formation damaged.This report is received from AEE,PWRD,Bhawanipur TR Sub-Division,Bhawanipur on 28/6/2022 | (Long - 91.117827, Lat - 26.508314)",29-06-2022
1,,Baksa,2,"Jalah - Pwd | Bagharpar | 1. Bagharpar to Naopara Road ,approx 500 meter has been damaged as per report received from PWD , Salbari Sub Division on 29-06-22 | (Long - 0.000000, Lat - 0.000000),  Pwd | Kutlijhar ,kalpani | 1. At kutlijhar , approx 350 meter of Manas to Gobardhana Road has been breach out and temporary bamboo bridge has been installed as per report received from pwd ,Salbari on 28-06-2022 2. At kalpani , approx 300 meter of left side of kalpani bridge approach road has damaged and temporary restoration works has been completed as per field report on 28-06-22 | (Long - 0.000000, Lat - 0.000000)",29-06-2022
2,,Barpeta,13,"Barpeta - Gowagacha to Moirajar Pazalkha Chariali Road | Gowagacha | Side berm eroded & Culvert Damage PWRD DOO19.06.2022 | (Long - 91.008010, Lat - 26.497751),  Gowagacha to Lalmohar Bazar Road | Gowagacha | Road submerged,Side berm damage & side berm of RCC Br. App damage 300.00 m PWRD DOO19.06.2022 | (Long - 91.022365, Lat - 26.495973),  Barnagar - Chalchalia Sorbhog to Pub Chalchalia Eidgah PMGSY Road | Chalchalia | As per report submitted by The EX Engnr, PWD Sorbhog & Jania Terri Road Divn, Barpeta Road on 17/06/2022 the side berm of the road is damaged at chainag 4000 M to 4700 M . | (Long - 90.900085, Lat - 26.450590),  Chenga - Const. of road repairing from END Mathauri to Madhya Malipara maszid with sand gravel at malipara | Malipara | Reported by BDO, Chenga on 29/06/2022 | (Long - 0.000000, Lat - 0.000000),  Const. of road repairing from Lt. Kashem Ali house to Madhya Maliara Maszid with sand gravel at malipara | Malipara | Reported by BDO, Chenga on 29/06/2022 | (Long - 0.000000, Lat - 0.000000),  Sarthebari - Burikhamar Bazar to kaljahi | Kaljahi | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.152283, Lat - 26.342627),  Tihu lachima road to Dr. Jinaram Das road via Kalatali | Kalatali | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.228941, Lat - 26.397300),  Nali Gaon to Bhaktardaba PMGSY road | Bhaktardaba | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.119872, Lat - 26.400048),  Naligaon to Rajaghat Barsimla road via H. C. College | Bhaktardaba | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.143903, Lat - 26.416451),  Majdia Barghopa PWD Road | Barghopa | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.238190, Lat - 26.307304), Kamarpara to Barkapla Raod | Barkapla | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.210031, Lat - 26.348443),  Nabajyoti High School to Sarthebari H. S. School via Medical Sub center road | Sarthebari | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.239260, Lat - 26.369482),  Byaskuchi Kamalabari PWD Road | Byaskuchi | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.205703, Lat - 26.311057)",29-06-2022
3,,Barpeta,,"Barpeta - Gowagacha to Moirajar Pazalkha Chariali Road | Gowagacha | Side berm eroded & Culvert Damage PWRD DOO19.06.2022 | (Long - 91.008010, Lat - 26.497751),  Gowagacha to Lalmohar Bazar Road | Gowagacha | Road submerged,Side berm damage & side berm of RCC Br. App damage 300.00 m PWRD DOO19.06.2022 | (Long - 91.022365, Lat - 26.495973),  Barnagar - Chalchalia Sorbhog to Pub Chalchalia Eidgah PMGSY Road | Chalchalia | As per report submitted by The EX Engnr, PWD Sorbhog & Jania Terri Road Divn, Barpeta Road on 17/06/2022 the side berm of the road is damaged at chainag 4000 M to 4700 M . | (Long - 90.900085, Lat - 26.450590),  Chenga - Const. of road repairing from END Mathauri to Madhya Malipara maszid with sand gravel at malipara | Malipara | Reported by BDO, Chenga on 29/06/2022 | (Long - 0.000000, Lat - 0.000000),  Const. of road repairing from Lt. Kashem Ali house to Madhya Maliara Maszid with sand gravel at malipara | Malipara | Reported by BDO, Chenga on 29/06/2022 | (Long - 0.000000, Lat - 0.000000),  Sarthebari - Burikhamar Bazar to kaljahi | Kaljahi | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.152283, Lat - 26.342627),  Tihu lachima road to Dr. Jinaram Das road via Kalatali | Kalatali | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.228941, Lat - 26.397300),  Nali Gaon to Bhaktardaba PMGSY road | Bhaktardaba | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.119872, Lat - 26.400048),  Naligaon to Rajaghat Barsimla road via H. C. College | Bhaktardaba | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.143903, Lat - 26.416451),  Majdia Barghopa PWD Road | Barghopa | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.238190, Lat - 26.307304), Kamarpara to Barkapla Raod | Barkapla | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.210031, Lat - 26.348443),  Nabajyoti High School to Sarthebari H. S. School via Medical Sub center road | Sarthebari | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.239260, Lat - 26.369482),  Byaskuchi Kamalabari PWD Road | Byaskuchi | Reported by J.E, PWD Road on 28.06.22 | (Long - 91.205703, Lat - 26.311057)",29-06-2022
4,,Biswanath,3,"Halem - Itapara Road | Itapara | As reported by PWD roads, Itapara road affected.28.06.2022 | (Long - 93.530552, Lat - 26.869101),  Ghahigaon to Baranaipathar Road | Baranipathar | As reported by PWD ROADS, Ghahigaon to Baranipathar road is overtopped at Baranipathar.28.06.2022 | (Long - 93.508370, Lat - 26.844377),  Brahmajan TE road | Brahmajan TE | As reported by PWD roads, Brahamajan TE road overtopped at Brahmajan TE area.28.06.2022 | (Long - 93.462214, Lat - 26.875050)",29-06-2022
5,,Bongaigaon,7,"Bongaigaon - Kukurmari Sutarpara road to Bongaigaon Dolaigaon road via Ujanpara road | Dolaigaon | Road submerged at 1st km. as per report received from PWRD, Bongaigaon date- 29.06.2022 | (Long - 90.541962, Lat - 26.494072),  Kishan Bazar to SSB Camp, Kharija DolaigaonPt-II | Kharija DolaigaonPt-II | Road side slopes and hard crust damaged at 1st km. as per report received from PWRD, Bongaigaon date- 29.06.2022 | (Long - 90.580939, Lat - 26.487244),  Srijangram - SH-2 road at Rangapani | Rangapani | Hard crust damaged at Ch. 37900.00 m & Ch. 37700.00 m. Side slopes and shoulder damaged at Ch. 37030.00 m to Ch. 37630.00 m as per report received from PWRD,Bongaigaon date-29.06.2022 | (Long - 90.185800, Lat - 26.185800),  Tilapara Ujanpara PMGSY road | Tilapara | Hard crust (ICBP) damaged at Ch.490.00 m & Ch. 770.00 m. Culvert head wall damaged at Ch. 760.00 m.as per report received from PWRD,Bongaigaon date-29.06.2022 | (Long - 90.699620, Lat - 26.370988),  Tilapara Ambari Kacharipety road | Kacharipety | Both approaches of slab culvert damaged & hard crust damaged at Ch. 930.00 m to Ch.970.00 m. as per report received from PWRD,Bongaigaon date-29.06.2022 | (Long - 90.425100, Lat - 26.204800),  Tilapara Ambari Kacharipety road | Tilapara | Culvert approaches damaged Ch.850.00 m. Bridge approach of SPT Br. No. 1/1 damaged at 1st km. as per report received from PWRD,Bongaigaon date-29.06.2022 | (Long - 90.794802, Lat - 26.317910),  Tulungia Borghola road | Borghola | Culvert approach damaged at Ch.6500.00 mat Sonakhuli point. as per report received from PWRD,Bongaigaon date-29.06.2022 | (Long - 90.422700, Lat - 26.225500)",29-06-2022
6,,Cachar,9,"Lakhipur - Silchar jiribam section Road | 1st km to 4th km including side erosion at 36th km and petty land slides at 33rd km to 37th km | Road suface damaged with the formation of pot holes and surface cracks in stretches at 1st km to 4th km including side erosion at 36th km and petty land slides at 33rd km to 37th km in hilly section on NH-53/37 (Silchar jiribam section).. Report received from PWD NH Division Silchar | (Long - 0.000000, Lat - 0.000000),  Sonai - Dholai Lailapur Road | CH 1000.00 M to CH 5300.00M & CH 6000.00M to CH 6800.00M | NH 54 to Dholai Lailapur Road PMGSY PKG AS-03-236 Report Received from PWD Through APRO on 29.06.2022 Under Sonai Revenue Circle. | (Long - 0.000000, Lat - 0.000000),  Road from Nutan Bazar to PWD Road Road | CH.8750M to CH 9500M | Road from Nutan Bazar to PWD Road Road Via Athurapur PMGSY Package No AS-03-229 Report Received from PWD Through APRO on 29.06.2022 Under Sonai Revenue Circle. | (Long - 0.000000, Lat - 0.000000),  Putikhal Road | CH. 50M TO CH 350M | PMGSY Pakage No AS-03-229 to Putikhal Report Received from PWD Through APRO on 29.06.2022 Under Sonai Revenue Circle. | (Long - 0.000000, Lat - 0.000000),  Shyama Charanpur BBC Raod to Mathurapur via Bidyaratanpur | CH 6300M to CH 9200M | Shyama Charanpur BBC Raod to Mathurapur via Bidyaratanpur Report Received from PWD Through APRO on 29.06.2022 Under Sonai Revenue Circle. | (Long - 0.000000, Lat - 0.000000),  Amraghat to Jurkhal Via Nagakhal Road | Jurkhal Via Nagakhal | Amraghat to Jurkhal Via Nagakhal 6TH To 7.3 km and approach of jurkhal Bridge from Nagakhal end Report Received from PWD Through APRO on 29.06.2022 Under Sonai Revenue Circle. | (Long - 0.000000, Lat - 0.000000),  Sonai Sonabarighat Road | CH.3000 M TO CH6000 M | Sonai Sonabarighat Road Report Received from PWD Through APRO on 29.06.2022 Under Sonai Revenue Circle. | (Long - 0.000000, Lat - 0.000000),  Sonabarighat Fery to Algapur Point Road | CH 00M to CH 700M | Sonabarighat Fery to Algapur Point Road CH 00M to CH 700M Report Received from PWD Through APRO on 29.06.2022 Under Sonai Revenue Circle. | (Long - 0.000000, Lat - 0.000000),  Neargram Fulian Point Road | CH 1500 M TO CH 4500 M | Neargram Fulian Point Road To Cpangpur Road Report Received from PWD Through APRO on 29.06.2022 Under Sonai Revenue Circle. | (Long - 0.000000, Lat - 0.000000)",29-06-2022
7,,Chirang,1,"Sidli - Road cum Mathouri Bengtol PWD road to Ujanigaon paddy field road | Pachim Ankorbari | As reported by BDO, Sidli-Chirang, Construction of road cum mathouri Bengtol PWD road to Ujanigaon paddy field road with 2 nos. of HP culvert damaged on 15-06-2022 which was constructed under MGNREGA , damage details- Length- 70m, Breadth-5m, Depth 1.5m. | (Long - 90.494632, Lat - 26.582801)",29-06-2022
8,,Darrang,3,"Dalgaon - Rajapukhuri to No.2 Borjhar road (PMGSY) | Rajapukhuri to No.2 Borjhar road at CH-3540 and CH-3700 | Rajapukhuri to No.2 Borjhar road side berm eroded at at CH-3540(L-60m) and CH-3700(L-60m) date of occurrence - 18/05/2022 | (Long - 0.000000, Lat - 0.000000), Rajapukhuri to No.2 Borjhar road (NON-PMGSY PORTION) | Rajapukhuri to No.2 Borjhar road (NON-PMGSY PORTION) at CH-1ST KM in two portion | Rajapukhuri to No.2 Borjhar road (NON-PMGSY PORTION) side berm eroded at CH-1ST KM in two portion (L-50m & 70m) date of occurrence - 18/05/2022 | (Long - 0.000000, Lat - 0.000000),  Chenibari to Shyamtilla road (NON-PMGSY PORTION) | Chenibari to Shyamtilla road (NON-PMGSY PORTION) at CH 1st KM | Chenibari to Shyamtilla road (NON-PMGSY PORTION) side berm is eroded, hard crust is completely damaged at CH 1st KM (L-200m) date of occurrence - 18/05/2022 | (Long - 0.000000, Lat - 0.000000)",29-06-2022
9,,Darrang,,"Dalgaon - Rajapukhuri to No.2 Borjhar road (PMGSY) | Rajapukhuri to No.2 Borjhar road at CH-3540 and CH-3700 | Rajapukhuri to No.2 Borjhar road side berm eroded at at CH-3540(L-60m) and CH-3700(L-60m) date of occurrence - 18/05/2022 | (Long - 0.000000, Lat - 0.000000), Rajapukhuri to No.2 Borjhar road (NON-PMGSY PORTION) | Rajapukhuri to No.2 Borjhar road (NON-PMGSY PORTION) at CH-1ST KM in two portion | Rajapukhuri to No.2 Borjhar road (NON-PMGSY PORTION) side berm eroded at CH-1ST KM in two portion (L-50m & 70m) date of occurrence - 18/05/2022 | (Long - 0.000000, Lat - 0.000000),  Chenibari to Shyamtilla road (NON-PMGSY PORTION) | Chenibari to Shyamtilla road (NON-PMGSY PORTION) at CH 1st KM | Chenibari to Shyamtilla road (NON-PMGSY PORTION) side berm is eroded, hard crust is completely damaged at CH 1st KM (L-200m) date of occurrence - 18/05/2022 | (Long - 0.000000, Lat - 0.000000)",29-06-2022
