,infrastructure damaged - road,District,Number,Details,,,,,,Date
0,,Karimganj,1,"(Karimganj) At District - Anipur NEC Road to Ghilaitikar - II | Anipur NEC Road to Ghilaitikar - II | As reported by Asstt. E.E., PWRD, Karimganj South Territorial Road Subdivision, Nilambazar dtd. 08-07-2022, the above noted road is damaged due to incessant heavy rain during last few days (Approximate Length- 11.1 Meters). | (Long - 92.404653, Lat - 24.641671)",,,,,,06-09-2022
1,,Total,1,,,,,,,06-09-2022
