,infrastructure damaged - road,District,Number,Details,,,,,,,Date
0,,Morigaon,1,"Morigaon - NH-37 to Bheluwabasti road | Bheluwabasti | As per PWD(Roads), dtd. 23-05-2022 Road from NH-37 to Bheluwabasti road at 1st KM was submerged. Temporary restoration of flood damaged to NH-37 to Bheluwabasti road at 1st KM. | (Long - 92.293216, Lat - 26.100923)",,,,,,,10-09-2022
1,,Total,1,,,,,,,,10-09-2022
