,infrastructure damaged - road,District,Number,Details,,,,,,,,Date
0,,Biswanath,2,"Halem - Road from Dathkala to Louguti | From Ch. 5.90 KM to 7.40 KM | Overtopped by flash flood water on 14.10.2022 | (Long - 0.000000, Lat - 0.000000),  Phuleswari aai than approach road | Ch 0.00 KM to 0.750 KM | Overtopped by flash flood water on 14.10.2022 | (Long - 0.000000, Lat - 0.000000)",,,,,,,,14-10-2022
1,,Bongaigaon,5,"Boitamari - Jogighopa Salbari Road | Salbari | Massive errosion occurred by the river Champa along Jogighopa Salbariat 16 th km. as per report received from PWRD, Bongaigaon dated-14.10.2022. | (Long - 90.484613, Lat - 26.288374),  Jogighopa Salbari Road | Salbari | One HP Culvert partially damaged by the errosion of river Champa at 16th km.as per report received from PWRD, Bongaigaon dated-14.10.2022 | (Long - 90.484952, Lat - 26.289116),  Srijangram - Haripur to Malegarh apahar via Amguri Pt.-I road | Amguri | Errosion occurred by river Mora Manas at 5th km. as per report received from PWRD, Bongaigaon dated- 14.10.2022 | (Long - 90.664496, Lat - 26.281566),  Extension of Bhadaipara Road | Bhadaipara | Road surface get damaged due to prolong rainy days at 1st km. as per report received from PWRD, Bongaigaon dated- 14.10.2022 | (Long - 90.708403, Lat - 26.312975),  Tilapara to Ambari Kacharipety road | Tilapara | Side slope erroded at ch 200.00m & Ch. 700.00m. as per report received from PWRD, Bongaigaon dated- 14.10.2022 | (Long - 90.704907, Lat - 26.343889)",,,,,,,,14-10-2022
2,,Dhemaji,1,"Dhemaji - Batamari to Machkhowa PWD road | Machkhowa | Yesterday on 13/10/2022, Bridge approach( Br.No.4/1) damaged occurred at Batamari to Machkhowa PWD road (Length-5 m.) | (Long - 94.481637, Lat - 27.320369)",,,,,,,,14-10-2022
3,,Total,8,,,,,,,,,14-10-2022
