,infrastructure damaged - road,District,Number,Details,,,,,,Date
0,,Jorhat,1,"Titabor - Dhodar Ali | Dhodar Ali road from Ch. 42.00KM Kakodunga bridge to 53.00KM Titabar Chari Ali | dated : 07/09/2022 Length : 15 KM approx Source: PWD Territorial Road, Jorhat Dergaon & Titabar | (Long - 94.136651, Lat - 26.565499)",,,,,,07-09-2022
1,,Total,1,,,,,,,07-09-2022
