,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Biswanath,0,0,0,2,0,2,0,0,0,20-06-2022
1,,Chirang,2,1,3,0,2,2,0,0,0,20-06-2022
2,,Darrang,35,0,35,0,0,0,0,0,0,20-06-2022
3,,Goalpara,0,0,0,19,0,19,0,0,0,20-06-2022
4,,Lakhimpur,15,0,15,160,0,160,0,0,0,20-06-2022
5,,Sonitpur,4,0,4,2,4,6,1,0,1,20-06-2022
6,,South Salmara,0,0,0,32,5,37,47,17,64,20-06-2022
7,,Tamulpur,56,0,56,12,0,12,0,0,0,20-06-2022
8,,Tinsukia,1,0,1,0,0,0,0,0,0,20-06-2022
9,,Udalguri,8,4,12,0,0,0,0,0,0,20-06-2022
10,,Total,121,5,126,227,11,238,48,17,65,20-06-2022
