,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Bajali,58,0,58,1970,72,2042,0,529,529,15-07-2022
1,,Darrang,2,1,3,0,1,1,1,951,952,15-07-2022
2,,Dhemaji,30,0,30,10,1,11,0,0,0,15-07-2022
3,,Hojai,232,0,232,3597,34,3631,293,206,499,15-07-2022
4,,Karbi Anglong West,0,0,0,1,0,1,0,0,0,15-07-2022
5,,Karimganj,23,3,26,14735,6857,21592,0,0,0,15-07-2022
6,,Morigaon,3,0,3,86,0,86,0,0,0,15-07-2022
7,,Nagaon,287,1,288,4932,11,4943,14,31,45,15-07-2022
8,,Sonitpur,44,8,52,320,2,322,130,0,130,15-07-2022
9,,Udalguri,19,0,19,456,2,458,0,0,0,15-07-2022
10,,Total,698,13,711,26107,6980,33087,438,1717,2155,15-07-2022
