,houses damaged,DistrictFully Fully Fully TotalPartially KucchaPartially Pukka Partially Others HutsOthers Cattle Others TotalKucchaPukkaTotalShed,,,,,,,,,,Date
0,,Cachar2000200130030016005005001000,,,,,,,,,,15-05-2022
1,,Nagaon202000000,,,,,,,,,,15-05-2022
2,,Total2020202130030016005005001000,,,,,,,,,,15-05-2022
