,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Barpeta,56,0,56,101,0,101,0,0,0,21-06-2022
1,,Chirang,2,0,2,0,0,0,0,0,0,21-06-2022
2,,Darrang,12,6,18,0,0,0,0,0,0,21-06-2022
3,,Lakhimpur,13,0,13,0,0,0,0,0,0,21-06-2022
4,,Majuli,1,0,1,0,0,0,0,0,0,21-06-2022
5,,Sivasagar,1,0,1,0,0,0,0,0,0,21-06-2022
6,,Sonitpur,0,0,0,6,1,7,0,0,0,21-06-2022
7,,Tamulpur,600,89,689,1600,87,1687,0,0,0,21-06-2022
8,,Udalguri,20,0,20,5,0,5,0,0,0,21-06-2022
9,,Total,705,95,800,1712,88,1800,0,0,0,21-06-2022
