,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Cachar,2197,990,3187,25507,12540,38047,0,0,0,24-05-2022
1,,Hojai,18,0,18,7,0,7,0,3,3,24-05-2022
2,,Total,2215,990,3205,25514,12540,38054,0,3,3,24-05-2022
