,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Cachar,1100,500,1600,8600,1000,9600,0,0,0,25-05-2022
1,,Hojai,90,8,98,294,0,294,0,48,48,25-05-2022
2,,Total,1190,508,1698,8894,1000,9894,0,48,48,25-05-2022
