,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Nagaon,265,5,270,602,22,624,20,37,57,04-06-2022
1,,Total,265,5,270,602,22,624,20,37,57,04-06-2022
