,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Darrang,3302,1,3303,4641,110,4751,9,472,481,12-07-2022
1,,Kamrup,7,0,7,9985,16,10001,27,1118,1145,12-07-2022
2,,Karbi Anglong West,2,0,2,7,0,7,0,0,0,12-07-2022
3,,Karimganj,73,1,74,5966,587,6553,0,0,0,12-07-2022
4,,Kokrajhar,0,0,0,43,0,43,1,0,1,12-07-2022
5,,Lakhimpur,25,0,25,74,0,74,0,0,0,12-07-2022
6,,Morigaon,0,0,0,1692,0,1692,0,0,0,12-07-2022
7,,Nagaon,0,0,0,490,0,490,950,620,1570,12-07-2022
8,,Nalbari,132 8 140,,,7612,100,7712,229,1457,1686,12-07-2022
9,,Sivasagar,0 0 0,,,1,0,1,0,0,0,12-07-2022
10,,Udalguri,207 2 209,,,188,2,190,0,0,0,12-07-2022
11,,Total,3748 12 3760,,,30699,815,31514,1216,3667,4883,12-07-2022
