,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Baksa,0,0,0,182,0,182,0,0,0,01-07-2022
1,,Chirang,5,0,5,1,0,1,2,3,5,01-07-2022
2,,Darrang,0,0,0,0,12,12,0,0,0,01-07-2022
3,,Dhemaji,50,1,51,4,0,4,20,5,25,01-07-2022
4,,Dhubri,34,0,34,807,17,824,974,32,1006,01-07-2022
5,,Kokrajhar,10,0,10,4,0,4,2,0,2,01-07-2022
6,,Morigaon,0,0,0,352,5,357,30,35,65,01-07-2022
7,,Sivasaga,1,0,1,0,0,0,0,0,0,01-07-2022
8,,r,,,,,,,,,,01-07-2022
9,,Sonitpur,3,0,3,2,0,2,3,0,3,01-07-2022
10,,South Salmara,52,2,54,108,7,115,56,14,70,01-07-2022
11,,Total,155,3,158,1460,41,1501,1087,89,1176,01-07-2022
