,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Cachar,1731,0,1731,58820,9526,68346,0,2201,2201,11-07-2022
1,,Hailakandi,790,15,805,9110,278,9388,270,20,290,11-07-2022
2,,Karbi Anglong West,26,0,26,191,0,191,0,0,0,11-07-2022
3,,Morigaon,0,0,0,109,0,109,0,0,0,11-07-2022
4,,Total,2547,15,2562,68230,9804,78034,270,2221,2491,11-07-2022
