,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Others Partially Partially Partially Others Others Cattle Kuccha Pukka Total Huts Total Shed,,,,,,Date
0,,Barpeta,2,0,2,6 4 10 0 12 12,,,,,,19-06-2022
1,,Darrang,50,0,50,0,0,0,0,0,0,19-06-2022
2,,Kamrup,0,0,0,25,10,35,0,0,0,19-06-2022
3,,Kamrup (M),0,0,0,1,1,2,0,0,0,19-06-2022
4,,Lakhimpur,6,0,6,11,0,11,0,0,0,19-06-2022
5,,Sonitpur,39,3,42,5,2,7,4,0,4,19-06-2022
6,,Total,97,3,100,48,17,65,4,12,16,19-06-2022
