,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Nagaon,158,2,160,575,149,724,104,114,218,02-06-2022
1,,Total,158,2,160,575,149,724,104,114,218,02-06-2022
