,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially KucchaPartially Partially Others HutsOthers Cattle Others TotalPukkaTotalShed,,,,,,Date
0,,Cachar,1000,0,1000,160001600000,,,,,,16-05-2022
1,,Dima-Hasao,5,0,5,55751301500150,,,,,,16-05-2022
2,,Nalbari,0,0,0,202000,,,,,,16-05-2022
3,,Total,1005,0,1005,16577517321500150,,,,,,16-05-2022
