,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Nagaon,112,7,119,337,40,377,215,134,349,01-06-2022
1,,Total,112,7,119,337,40,377,215,134,349,01-06-2022
