,houses damaged,District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
0,,Cachar,3000,670,3670,22000,1789,23789,1500,550,2050,19-05-2022
1,,Dima-Hasao,135,233,368,0,0,0,0,0,0,19-05-2022
2,,Kamrup,4,0,4,10,0,10,0,3,3,19-05-2022
3,,Total,3139,903,4042,22010,1789,23799,1500,553,2053,19-05-2022
