Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,4228-4327 dated 29.07.2025,2025_PWD_111337_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,UTR nos of EMD and Cost of Tender Form,31-Jul-2025 12:30 PM,07-Aug-2025 11:00 AM,31-Jul-2025 12:40 PM,06-Aug-2025 06:55 PM,,,31-Jul-2025 12:40 PM,06-Aug-2025 06:55 PM,07-Aug-2025 04:40 PM,"5,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,350.0,Nil,Nil,No,"EE Karchham Division, HPPWD., Bhabanagar","EE Karchham Division, HPPWD., Bhabanagar",C.O link road from Gurubale to Upper Kangos Km 0.00 to 0.800 SH- P.L Kharanja stone soling at RD 0.300 to 0.360 and C.C. Pavement at RD 0.300 to 0.375. Under MMGSY,C.O link road from Gurubale to Upper Kangos Km 0.00 to 0.800 SH- P.L Kharanja stone soling at RD 0.300 to 0.360 and C.C. Pavement at RD 0.300 to 0.375. Under MMGSY,Please refer Tender documents.,,"2,89,701",Civil Works - Roads,,Tender,90.0,60.0,Kangos,172115.0,,,,"EE Karchham Division, HPPWD., Bhabanagar",No,No,AOC
,,,,,,,,,,,,,,,,.pdf,"Contractors Registration, GST, EPF and PAN",,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,All technical documents as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Other documents as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Undertaking of site visit duly signed by the concern JE and AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
