Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,JSV/FPDG/EA-I/6826-65 dated 29.11.2025,2025_HPIPH_122139_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,The Earnest money shall be submitted either through online mode (e-payment)  or offline mode as per,29-Nov-2025 05:00 PM,09-Dec-2025 12:30 PM,29-Nov-2025 05:00 PM,09-Dec-2025 12:00 PM,29-Nov-2025 05:00 PM,09-Dec-2025 12:00 PM,29-Nov-2025 05:00 PM,09-Dec-2025 12:00 PM,23-Dec-2025 11:55 AM,"2,29,744",No,fixed,,Nil,Nil,1.0,ICICI BANK,"5,000",Nil,Nil,No,Executive Engineer JSV Flood Protection Division G,Executive Engineer JSV Flood Prot. Division Gagret,"Improvement of 8 Nos. Irrigation schemes i.e. Tubewell No. 18 at Kad, Tubewell 68 and 71 at village Jeetpur, Beheri, Tubewell No. 34 at Nakroh, Tubewell 22 and 25 at Kuneran Tubewell No. 30 Gondpur Banehra and Tubewell No. 3 Badoh in Tehsil and Dist","Construction of  Civil Work, P/L of Rising Main, S/E of pumping machinery, Providing and Laying of Distribution system and for T/well No. 68,71 at Jeetpur Baheri and T/well No. 22 at Kuneran).",Please refer Tender documents.,,"1,54,74,357",Civil Works,,Tender,120.0,90.0,Executive Engineer JSV Flood Protection Division G,177201.0,,,,Executive Engineer JSV Flood Prot. Division Gagret,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Cost of tender documents through online or offline mode as per NIT,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Certificate of registration in appropriate class with JSV Department as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of Curve Chart of pumping machinery equipment also uploaded with the tender. An undertaking reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Income Tax registration number and their latest clearance certificate as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of  EPF number as per NIT condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of  GST number along with copy of latest GST return as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Under Taking regarding two or more works are not pending with FP Division Gagret as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
