Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HP Power Transmission Corporation limited||Projects||DGM (Chamba)||PIU Chamba,HPPTCLSM02Dt211125,2025_HPPTC_121647_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"EMD,Tender doc. cost, GST Cert, T/over,  ,License,undertaking for non-blacklisting  etc. as per ITB",25-Nov-2025 12:20 PM,09-Dec-2025 12:30 PM,25-Nov-2025 12:20 PM,08-Dec-2025 04:00 PM,25-Nov-2025 12:20 PM,08-Dec-2025 11:00 AM,25-Nov-2025 12:20 PM,08-Dec-2025 04:00 PM,09-Dec-2025 02:10 PM,"5,865",Yes,fixed,,SM(P) Chamba,Chamba,1.0,Extention of time,Date,,1,DD - Demand Draft,"1,180",SM(P) Chamba,Chamba,Yes,Sr. Manager(P),HPPTCL PIU Chamba at Karian,Providing and installation of 400 watts LED Flood Lights at 220/132 kV GIS Sub-station Mazra under HPPTCL PIU Chamba,Providing and installation of 400 watts LED Flood Lights at 220/132 kV GIS Sub-station Mazra under HPPTCL PIU Chamba,Please refer Tender documents.,,,Supply and Erection,,Tender,30.0,,220/132 KV GISS Mazra at Pukhari,176319.0,,,,Karian Chamba,No,No,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
