Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,2025_PWD_9516,2025_PWD_122411_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender form, Earnest Money, GST, PAN and Valid Enlistment of Contractor",03-Dec-2025 10:00 AM,10-Dec-2025 02:00 PM,03-Dec-2025 10:00 AM,09-Dec-2025 05:00 PM,,,03-Dec-2025 10:00 AM,09-Dec-2025 05:00 PM,26-Dec-2025 11:00 AM,"1,47,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,"2,000",Nil,Nil,No,EE HPPWD Karsog,Karsog Division,"R/R Damages on Khadargali to Somakothi road  Km. 0/00 to 4/405 (SH C/O R/Wall at RD 0/180 to 0/190, 0/250 to 0/270, 0/585 to 0/605, 0/795 to 0/800, 1/030 to 1/045, 1/450 to 1/460, 1/690 to 1/705, 2/275 to 2/280, 3/005 to 3/025, 3/330 to 3/350, 3/915","R/R Damages on Khadargali to Somakothi road  Km. 0/00 to 4/405 (SH C/O R/Wall at RD 0/180 to 0/190, 0/250 to 0/270, 0/585 to 0/605, 0/795 to 0/800, 1/030 to 1/045, 1/450 to 1/460, 1/690 to 1/705, 2/275 to 2/280, 3/005 to 3/025, 3/330 to 3/350, 3/915",Please refer Tender documents.,,"73,68,903",Civil Works - Roads,,Tender,90.0,120.0,Karsog,175011.0,,,,Karsog Division,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Registration of EPF,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per Bid document as per schedule F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,For No. 7 and  8 duly signed by contractor as per Bid document as per General rule 24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit No relative working as gazetted office working in HPPWD and true and Correct of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work Done  and work in hand  Certificate as per Gen. Rule 24.5 and 26.2b strictly as per schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Financial Turnover of last five years attested by certified C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding true and correctness of uploaded bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
