,Unnamed: 0,animals washed away,District,Total,Big,Small,Poultry,Date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 6
0,0,,Cachar,6,5,1,,2022-05-16,,,,,,
0,0,,Biswanath,2,2,0,,2022-05-17,,,,,,
0,0,,Biswanath,2,2,0,0,2022-05-18,,,,,,
0,0,,Cachar,1,1,0,0,2022-05-20,,,,,,
1,1,,Nagaon,200,0,0,200,2022-05-23,,,,,,
0,0,,Hojai,2,2,0,0,2022-05-23,,,,,,
0,0,,Cachar,7,7,0,0,2022-05-24,,,,,,
0,0,,Cachar,4,4,0,0,2022-05-25,,,,,,
1,1,,Dima-Hasao,107,30,57,20,2022-05-25,,,,,,
0,0,,Cachar,1,1,0,0,2022-05-26,,,,,,
0,0,,Nagaon,450,0,0,450,2022-05-28,,,,,,
0,0,,Dima-Hasao,4,0,0,4,2022-05-29,,,,,,
0,0,,Dima-Hasao,365,85,87,193,2022-05-30,,,,,,
0,0,,Kokrajhar,410,0,10,400,2022-06-17,,,,,,
0,0,,Baksa,12,0,12,0,2022-06-18,,,,,,
1,1,,Goalpara,5,0,5,0,2022-06-18,,,,,,
2,2,,Nagaon,2,2,0,0,2022-06-18,,,,,,
3,3,,Sonitpur,2,0,2,0,2022-06-18,,,,,,
4,4,,Udalguri,10,10,0,0,2022-06-18,,,,,,
0,0,,Chirang,66,0,5,61,2022-06-19,,,,,,
1,1,,Kamrup,743,41,75,627,2022-06-19,,,,,,
3,3,,Sonitpur,2,0,2,0,2022-06-19,,,,,,
2,2,,Nalbari,1,1,0,0,2022-06-19,,,,,,
0,0,,Baksa,3,0,3,0,2022-06-20,,,,,,
3,3,,Nalbari,26,5,21,0,2022-06-20,,,,,,
4,4,,Udalguri,2,2,0,0,2022-06-20,,,,,,
1,1,,Barpeta,1,0,1,0,2022-06-20,,,,,,
2,2,,Nagaon,5200,0,0,5200,2022-06-20,,,,,,
3,3,,Nalbari,3,0,3,0,2022-06-21,,,,,,
2,2,,Bongaigaon,59647,39278,20369,0,2022-06-21,,,,,,
1,1,,Barpeta,3,2,1,0,2022-06-21,,,,,,
0,0,,Baksa,1,0,1,0,2022-06-21,,,,,,
1,1,,Nalbari,6,5,1,0,2022-06-24,,,,,,
0,0,,Barpeta,22,0,22,0,2022-06-24,,,,,,
