District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
Nalbari,0,0,0,0,( Ghograpar | 0 ),16.8,( Ghograpar | 16.80 ),15-05-2022
Nagaon,6,8,5,19,"( Raha | 0 ), ( Kampur | 19 )",2391.54,"( Raha | 1940.54 ), ( Kampur | 451.00 )",15-05-2022
Cachar,16451,12399,12187,41037,"( Udharbond | 957 ), ( Lakhipur | 80 ), ( Sonai | 0 ), ( Silchar | 10000 ), ( Katigorah | 30000 )",2099.6,"( Udharbond | 129.00 ), ( Lakhipur | 97.00 ), ( Sonai | 157.10 ), ( Silchar | 594.50 ), ( Katigorah | 1122.00 )",15-05-2022
Dhemaji,315,260,69,644,( Dhemaji | 644 ),12,( Dhemaji | 12.00 ),15-05-2022
Hojai,7836,4618,1069,13523,"( Lanka | 0 ), ( Hojai | 13523 ), ( Doboka | 0 )",5801.5,"( Lanka | 245.50 ), ( Hojai | 5377.00 ), ( Doboka | 179.00 )",15-05-2022
Karbi Anglong West,500,599,347,1446,( Donkamokam | 1446 ),0,( Donkamokam | 0.00 ),15-05-2022
Bajali,89,75,19,183,( Bajali | 183 ),194,( Bajali | 194.00 ),16-05-2022
Tamulpur,530,410,60,1000,( Goreswar | 1000 ),,( Goreswar | 0.00 ),16-05-2022
Sonitpur,2352,1924,2095,6371,"( Dhekiajuli | 1340 ), ( Thelamara | 0 ), ( Chariduar | 4002 ), ( Tezpur | 1029 )",,"( Dhekiajuli | 107.00 ), ( Thelamara | 12.00 ), ( Chariduar | 151.00 ), ( Tezpur | 100.00 )",16-05-2022
Nalbari,48,38,19,105,"( Paschim Nalbari | 0 ), ( Ghograpar | 0 ), ( Tihu | 105 )",,"( Paschim Nalbari | 1.40 ), ( Ghograpar | 14.00 ), ( Tihu | 20.00 )",16-05-2022
Nagaon,7612,4801,3004,15417,"( Raha | 0 ), ( Kampur | 15417 )",,"( Raha | 2230.75 ), ( Kampur | 3157.00 )",16-05-2022
Majuli,0,0,0,0,"( Ujani Majuli | 0 ), ( Majuli | 0 )",,"( Ujani Majuli | 32.00 ), ( Majuli | 48.00 )",16-05-2022
Lakhimpur,2253,2172,1872,6297,"( Nowboicha | 0 ), ( Narayanpur | 248 ), ( Bihpuria | 6049 )",,"( Nowboicha | 25.00 ), ( Narayanpur | 10.00 ), ( Bihpuria | 73.00 )",16-05-2022
Hojai,41607,29296,7254,78157,"( Lanka | 1034 ), ( Hojai | 29795 ), ( Doboka | 47328 )",4611.5,"( Lanka | 245.50 ), ( Hojai | 3940.00 ), ( Doboka | 426.00 )",16-05-2022
Karbi Anglong West,1132,1172,1549,3853,( Donkamokam | 3853 ),,( Donkamokam | 0.00 ),16-05-2022
Kamrup,155,138,66,359,( Rangia | 359 ),160,( Rangia | 160.00 ),16-05-2022
Udalguri,4314,3411,1582,9307,"( Harisinga | 0 ), ( Khairabari | 619 ), ( Udalguri | 2242 ), ( Kalaigaon | 4232 ), ( Mazbat | 2214 )",,"( Harisinga | 0.00 ), ( Khairabari | 166.00 ), ( Udalguri | 3209.00 ), ( Kalaigaon | 0.00 ), ( Mazbat | 0.00 )",16-05-2022
Charaideo,27,22,18,67,( Sapekhati | 67 ),0,( Sapekhati | 0.00 ),16-05-2022
Dima-Hasao,500,500,270,1270,( Haflong | 1270 ),0,( Haflong | 0.00 ),16-05-2022
Dibrugarh,1963,1503,1158,4624,"( Chabua | 4587 ), ( Naharkatia | 37 )",3.5,"( Chabua | 3.50 ), ( Naharkatia | 0.00 )",16-05-2022
Kokrajhar,0,0,0,0,"( Bhawraguri | 0 ), ( Gossaigaon | 0 ), ( Bagribari | 0 )",,"( Bhawraguri | 52.63 ), ( Gossaigaon | 92.88 ), ( Bagribari | 354.35 )",16-05-2022
Dhemaji,315,260,69,644,"( Dhemaji | 644 ), ( Jonai | 0 )",54,"( Dhemaji | 12.00 ), ( Jonai | 42.00 )",16-05-2022
Darrang,7111,3483,2088,12682,"( Patharighat | 1495 ), ( Dalgaon | 7970 ), ( Mangaldoi | 3217 )",219,"( Patharighat | 0.00 ), ( Dalgaon | 0.00 ), ( Mangaldoi | 219.00 )",16-05-2022
Biswanath,2520,2002,992,5514,"( Gohpur | 1500 ), ( Halem | 2013 ), ( Biswanath | 2001 )",360,"( Gohpur | 150.00 ), ( Halem | 210.00 ), ( Biswanath | 0.00 )",16-05-2022
Cachar,19571,17519,14267,51357,"( Udharbond | 957 ), ( Sonai | 0 ), ( Lakhipur | 400 ), ( Silchar | 10000 ), ( Katigorah | 40000 )",1187.6,"( Udharbond | 59.00 ), ( Sonai | 300.60 ), ( Lakhipur | 8.00 ), ( Silchar | 594.50 ), ( Katigorah | 225.50 )",16-05-2022
Baksa,20,14,7,41,( Baksa | 41 ),0,( Baksa | 0.00 ),16-05-2022
Charaideo,45,42,40,127,( Sapekhati | 127 ),0,( Sapekhati | 0.00 ),17-05-2022
Sonitpur,3835,3380,2501,9716,"( Naduar | 738 ), ( Thelamara | 0 ), ( Chariduar | 5791 ), ( Dhekiajuli | 1986 ), ( Tezpur | 1201 )",,"( Naduar | 151.00 ), ( Thelamara | 273.00 ), ( Chariduar | 79.00 ), ( Dhekiajuli | 176.00 ), ( Tezpur | 222.00 )",17-05-2022
Nalbari,1039,807,341,2187,"( Barbhag | 0 ), ( Banekuchi | 176 ), ( Nalbari | 0 ), ( Paschim Nalbari | 1241 ), ( Ghograpar | 292 ), ( Tihu | 478 )",,"( Barbhag | 88.00 ), ( Banekuchi | 5.00 ), ( Nalbari | 13.00 ), ( Paschim Nalbari | 125.00 ), ( Ghograpar | 23.00 ), ( Tihu | 52.00 )",17-05-2022
