District,Total,Male,Female,Children,Revenue Circlewise,Date
Cachar,2,2,0,0,"(Katigorah | 0), (Lakhipur | 1), (Silchar | 1), (Sonai | 0), (Udharbond | 0)",16-05-2022
Udalguri,1,1,0,0,"(Harisinga | 0), (Kalaigaon | 0), (Khairabari | 1), (Mazbat | 0), (Udalguri | 0)",17-05-2022
Darrang,1,1,0,0,"(Dalgaon | 0), (Mangaldoi | 0), (Patharighat | 1), (Sipajhar | 0)",18-05-2022
Nagaon,1,1,0,0,"(Kampur | 1), (Nagaon | 0), (Raha | 0)",19-05-2022
Cachar,2,0,1,1,"(Katigorah | 2), (Lakhipur | 0), (Silchar | 0), (Sonai | 0), (Udharbond | 0)",20-05-2022
Lakhimpur,1,0,0,1,"(Bihpuria | 0), (Narayanpur | 0), (North Lakhimpur | 1), (Subansiri | 0)",20-05-2022
Nagaon,1,1,0,0,"(Kampur | 1), (Nagaon | 0), (Raha | 0)",20-05-2022
Nagaon,1,1,0,0,"(Kampur | 1), (Nagaon | 0), (Raha | 0)",21-05-2022
Hojai,1,1,0,0,"(Doboka | 1), (Hojai | 0), (Lanka | 0)",21-05-2022
Cachar,2,2,0,0,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 2), (Sonai | 0), (Udharbond | 0)",21-05-2022
Hojai,1,1,0,0,"(Doboka | 1), (Hojai | 0), (Lanka | 0)",22-05-2022
Cachar,1,0,0,1,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), (Udharbond | 0)",22-05-2022
Nagaon,4,3,0,1,"(Kampur | 3), (Nagaon | 0), (Raha | 1)",22-05-2022
Cachar,1,0,1,0,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), (Udharbond | 0)",23-05-2022
Nagaon,1,1,0,0,"(Kampur | 1), (Nagaon | 0), (Raha | 0)",24-05-2022
Cachar,1,1,0,0,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 0), (Sonai | 0), (Udharbond | 1)",24-05-2022
Nagaon,1,0,0,1,"(Kampur | 1), (Nagaon | 0), (Raha | 0)",25-05-2022
Cachar,1,1,0,0,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), (Udharbond | 0)",25-05-2022
Nagaon,2,1,0,1,"(Kampur | 1), (Nagaon | 0), (Raha | 1)",26-05-2022
Nagaon,2,1,0,1,"(Kampur | 0), (Nagaon | 0), (Raha | 2)",28-05-2022
Cachar,2,1,0,1,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 1)",30-05-2022
Nagaon,2,0,0,2,"(Kampur | 2), (Nagaon | 0), (Raha | 0)",30-05-2022
Cachar,2,2,0,0,"(Katigorah | 1), (Lakhipur | 0), (Silchar | 0), (Sonai | 1), ((Cachar) At District | 0)",01-06-2022
Kamrup (M),4,4,0,0,"(Dispur | 0), (Guwahati | 4), (Sonapur | 0)",14-06-2022
Dima-Hasao,1,1,0,0,(Haflong | 1),16-06-2022
Goalpara,2,0,0,2,"(Balijana | 2), (Lakhipur | 0), (Rongjuli | 0)",16-06-2022
Udalguri,1,0,1,0,"(Harisinga | 0), (Kalaigaon | 0), (Khairabari | 0), (Mazbat | 0), (Udalguri | 1)",16-06-2022
Sonitpur,1,1,0,0,"(Chariduar | 1), (Dhekiajuli | 0), (Naduar | 0), (Tezpur | 0), (Thelamara | 0)",17-06-2022
Nalbari,2,2,0,0,"(Banekuchi | 1), (Barbhag | 0), (Barkhetri | 0), (Ghograpar | 0), (Nalbari | 0), (Paschim Nalbari | 1), (Tihu | 0)",17-06-2022
Kokrajhar,1,1,0,0,"(Bagribari | 0), (Bhawraguri | 0), (Dotma | 0), (Gossaigaon | 0), (Kokrajhar | 1)",17-06-2022
Kamrup,1,1,0,0,"(Boko | 0), (Chaygaon | 0), (Goroimari | 0), (Hajo | 0), (Kamalpur | 0), (Kayan | 0), (North Ghy | 0), (Palashbari | 0), (Rangia | 1)",17-06-2022
Hojai,2,0,1,1,"(Doboka | 0), (Hojai | 2), (Lanka | 0)",17-06-2022
Dhubri,1,0,0,1,"(Agamoni | 0), (Athani | 0), (Bilasipara | 1), (Chapar | 0), (South Salmara Part | 0)",17-06-2022
Bajali,1,1,0,0,"(Bajali | 1), (Sarupeta | 0)",17-06-2022
Hailakandi,1,1,0,0,(Katlicherra | 1),18-06-2022
Sonitpur,1,0,0,1,"(Chariduar | 1), (Dhekiajuli | 0), (Tezpur | 0), (Thelamara | 0)",18-06-2022
Nalbari,1,1,0,0,"(Banekuchi | 0), (Barbhag | 0), (Barkhetri | 0), (Ghograpar | 0), (Nalbari | 1), (Paschim Nalbari | 0), (Tihu | 0)",18-06-2022
Barpeta,2,1,0,1,"(Baghbar | 0), (Barnagar | 0), (Barpeta | 0), (Chenga | 0), (Kalgachia | 1), (Sarthebari | 1)",18-06-2022
