object_id,timeperiod,structure_lost
02-023-00005,2021_06,2.0
02-023-00005,2021_07,3.0
02-023-00007,2022_06,1.0
02-023-00007,2022_08,6.0
02-024-02114,2021_07,30.0
02-024-02115,2020_08,2.0
02-024-02116,2020_08,2.0
02-024-02119,2020_08,3.0
02-024-02123,2020_08,4.0
02-024-02126,2020_08,3.0
02-024-02128,2020_08,11.0
02-024-02130,2020_08,1.0
02-026-00011,2021_07,13.0
02-026-00011,2023_07,2.0
02-026-00012,2021_07,3.0
02-026-00012,2023_07,34.0
02-026-00014,2020_08,16.0
02-026-00014,2021_07,8.0
02-026-00014,2022_06,1.0
02-026-00014,2022_07,28.0
02-026-00014,2023_07,142.0
02-026-00014,2023_09,3.0
02-026-00014,2024_04,1.0
02-026-00015,2023_07,33.0
02-028-02858,2021_07,1.0
02-030-02104,2020_07,1.0
02-030-02104,2020_08,14.0
02-030-02104,2021_08,1.0
02-030-02105,2020_07,8.0
02-030-02105,2020_08,21.0
02-030-02105,2020_09,5.0
02-030-02105,2021_07,6.0
02-030-02105,2021_08,5.0
02-030-02105,2021_09,6.0
02-030-02105,2021_10,3.0
02-030-02105,2022_05,7.0
02-030-02105,2022_07,7.0
02-030-02106,2020_07,1.0
02-030-02106,2020_08,34.0
02-030-02106,2020_09,13.0
02-030-02106,2021_06,1.0
02-030-02106,2021_07,14.0
02-030-02106,2021_08,4.0
02-030-02106,2021_09,2.0
02-030-02106,2022_05,1.0
02-030-02106,2022_06,1.0
02-030-02107,2020_08,5.0
02-030-02107,2021_07,2.0
02-030-02107,2022_01,2.0
02-030-02107,2022_05,1.0
02-030-02107,2022_06,1.0
02-030-02107,2022_07,9.0
02-031-00057,2020_03,2.0
02-031-00057,2021_06,12.0
02-031-00059,2021_06,6.0
02-031-00059,2021_08,2.0
02-031-00062,2021_07,1.0
02-031-00064,2020_07,8.0
02-031-00064,2021_06,6.0
02-031-00064,2021_07,5.0
02-032-00050,2022_07,10.0
02-033-00034,2021_06,50.0
02-033-00034,2021_07,9.0
02-033-00036,2021_09,1.0
02-033-00039,2021_06,40.0
02-033-00039,2021_09,3.0
02-033-00043,2020_07,30.0
02-033-00043,2020_08,3.0
02-033-00043,2020_09,11.0
02-033-00043,2021_04,11.0
02-033-00043,2021_06,88.0
02-033-00043,2021_07,8.0
02-033-00043,2021_08,9.0
02-033-00043,2021_09,15.0
02-033-00043,2022_03,1.0
02-033-00043,2022_08,9.0
02-033-00044,2021_06,3.0
02-033-00044,2021_09,3.0
02-033-00044,2021_10,1.0
02-033-00044,2022_07,1.0
02-033-00044,2022_09,2.0
02-033-00045,2020_08,4.0
02-033-00045,2020_09,2.0
02-033-00045,2021_06,20.0
02-033-00045,2021_07,2.0
02-033-00045,2021_08,10.0
02-033-00045,2022_08,3.0
02-033-00047,2020_06,1.0
02-033-00047,2020_09,3.0
02-033-00047,2021_06,18.0
02-033-00047,2021_07,7.0
02-033-00047,2021_08,3.0
02-033-00047,2021_09,4.0
02-033-00047,2021_10,1.0
02-033-00047,2022_01,1.0
02-033-00047,2022_02,2.0
02-033-00047,2022_08,3.0
02-034-00009,2023_07,138.0
02-034-00010,2023_07,7.0
02-034-01705,2022_08,11.0
02-034-01705,2023_07,28.0
