object_id,timeperiod,MilchlostB,MilchlostS,DraughtlostC,DraughtlostCalf
02-023-00004,2023_07,0,91,0,0
02-023-00006,2023_07,0,200,0,0
02-024-02110,2023_07,0,24,0,0
02-024-02114,2023_07,0,12,0,0
02-024-02128,2023_07,0,32,0,0
02-024-02130,2023_08,1,10,0,0
02-026-00011,2023_07,1,0,0,0
02-026-00012,2023_07,10,944,4,0
02-026-00014,2023_07,11,328,4,0
02-026-00015,2023_07,21,1,7,0
02-030-02106,2021_07,1,0,0,0
02-030-02106,2023_08,0,3,0,0
02-031-00064,2020_07,0,0,2,0
02-032-00050,2022_07,2,0,0,0
02-032-00053,2021_08,1,0,0,0
02-033-00034,2023_07,3,0,0,0
02-033-00043,2020_08,1,0,0,0
02-033-00043,2023_08,4,0,0,0
02-033-00045,2021_08,1,0,0,0
02-033-00045,2023_08,2,0,0,0
02-033-00047,2023_07,3,0,0,0
02-034-00009,2023_07,4,5,0,0
02-034-00010,2023_07,2,0,0,1
02-034-01705,2023_07,0,1,0,0
