,infrastructure damaged - wildlife,District,Wildlife affected under protected areas description,Date
0,,Golaghat,"(Golaghat) At District - Inundated Camps as on date: Agoratoli Range (out of 34 camps 16 are inundated), Kaziranga Range (out of 49 camps 8 are inundated), Bokakhat Range (Out of 7 camps 2 are inundated) . As per report received from the Eastern Assam Wildlife Divn., Bokakhat on 21-06-2022.",21-06-2022
1,,Morigaon,Mayong - Pobitora WLS out of a total 25 no of camps Affected 17 and inundated 14nos of camps as reported by Range Officer PWLS on 21/06/22,21-06-2022
