,infrastructure damaged - wildlife,District,Wildlife affected under protected areas description,Date
0,,Golaghat,"(Golaghat) At District - Inundated Camps as on date: Agoratoli Range (out of 34 camps 16 are inundated), Kaziranga Range (out of 49 camps 9 are inundated), Bokakhat Range (Out of 7 camps 3 are inundated) . As per report received from the Eastern Assam Wildlife Divn., Bokakhat on 20-06-2022. Morigaon  Mayong - Pobitora WLS. out of a total of 25numbers of Camps 17nos of camps ate affected and 14 nos of camps are inundated as reported by Range Officer PWLS on 20/06/22",20-06-2022
1,,Nagaon,"Kaliabor - In Bagori Range out of total 38 nos. of camp 10 nos. of camp and in Burhapahar Range out of total 25 nos. of camp 6 nos. of camp innundated due to flood water Dtd-20.06.2022 as reported by DFO, EAWD",20-06-2022
