,infrastructure damaged - wildlife,District,Wildlife affected under protected areas description,Date
0,,Golaghat,"(Golaghat) At District - Inundated Camps as on date: Agoratoli Range (out of 34 camps 17 are inundated), Kaziranga Range (out of 49 camps 15 are inundated), Bokakhat Range (Out of 7 camps 3 are inundated) . 1 hog deer died due to dog bite. As per report received from the Eastern Assam Wildlife Divn., Bokakhat on 01-07-2022.",01-07-2022
1,,Morigaon,Mayong - Pobitora WLS 10numbers of Camps inundated as reported by Range Officer PWLS on 01/07/22,01-07-2022
2,,Nagaon,"Kaliabor - In Bagori Range out of total 38 nos. of camp 11 nos. of camp and in Burhapahar Range out of total 25 nos. of camp 4 nos. of camp innundated due to flood water Dtd-01.07.2022 as reported by DFO, EAWD,",01-07-2022
