,infrastructure damaged - wildlife,District,Wildlife affected under protected areas description,Date
0,,Golaghat,"(Golaghat) At District - Inundated Camps as on date: Agoratoli Range (out of 34 camps 16 are inundated), Kaziranga Range (out of 49 camps 14 are inundated), Bokakhat Range (Out of 7 camps 2 are inundated) . As per report received from the Eastern Assam Wildlife Divn., Bokakhat on 02-07-2022.",02-07-2022
1,,Morigaon,Mayong - Pobitora WLS 10numbers of camp inundated as reported by Range Officer PWLS on 02/07/22,02-07-2022
