,infrastructure damaged - wildlife,District,Wildlife affected under protected areas description,Date
0,,Golaghat,"(Golaghat) At District - Inundated Camps as on date: Agoratoli Range (out of 34 camps 8 are inundated), Kaziranga Range (out of 49 camps 8 are inundated). As per report received from the Eastern Assam Wildlife Divn., Bokakhat on 22-06-2022.",22-06-2022
1,,Morigaon,Mayong - Pobitora WLS out of a total 25nos of camps 17 camps are affected and 14 inundated aa reported by Range Officer PWLS on 22/06/22,22-06-2022
