Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur||Senior Executive Engineer-IV,SSD-580/2025,2025_HPSEB_122705_1,Yes,Open Tender,Tender cum Auction,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Signed Copy of Detailed Estimate,05-Dec-2025 05:00 PM,03-Jan-2026 03:00 PM,05-Dec-2025 05:05 PM,02-Jan-2026 01:00 PM,,,06-Dec-2025 10:00 AM,02-Jan-2026 01:00 PM,19-Jan-2026 02:30 PM,"89,896",No,fixed,,Nil,Nil,1.0,2nd Extension in Due dates,Date,,1.0,ICICI BANK,"1,180",Nil,Nil,No,"SE(Design), ES, HPSEBL, Hamirpur","O/o SE(Design), ES, HPSEBL, Hamirpur at Mattansidh (H.P.)-177001","Shifting of Tower No. 139 of 132 kV D/C Kangoo Bijni Larji Bajoura transmission line near Rains Nallah (Hanogi) under ES Division, HPSEBL, Bilaspur on Turn Key Basis","Shifting of Tower No. 139 of 132 kV D/C Kangoo Bijni Larji Bajoura transmission line near Rains Nallah (Hanogi) under ES Division, HPSEBL, Bilaspur on Turn Key Basis",As per Tender specifications,,"89,89,641",Electrical Works,,Tender,180.0,,Distt. Mandi HP,175124.0,"O/o SE(Design), ES, HPSEBL, Hamirpur at Mattansidh","O/o SE(Design), ES, HPSEBL, Hamirpur at Mattansidh (H.P.)-177001",11-Dec-2025 11:30 AM,"Mattansidh, Hamirpur",No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Technical Qualifying Requirments related documents,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Commercial Qualifying Requirments related documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Tender Fee, EMD, Power of Attorney Related documents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bid Forms as per Volume-II Section-II of Techno-Comm. specs a/w Attachment 1 to 19 (as applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.rar,"PAN, GST, company profile, Elect. Contractor License, Bid Capacity etc. related document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.rar,"Undertaking regarding e-RA (Annexure-A1), Non Blacklisting and any other tender related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Signed and stamped copy of complete Bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form16- Form of evidence of access to or availability of credit/facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.rar,Annual Reports a/w audited statement of accounts of the firm for last 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Percentage BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
