Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate of Horticulture,HPSHIVA_G06_IV,2025_DOH_117757_1,Yes,Open Tender,Item Rate,Goods,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,RFQ document cost and Bid security,14-Oct-2025 06:00 PM,28-Oct-2025 04:00 PM,14-Oct-2025 06:00 PM,28-Oct-2025 02:00 PM,,,23-Oct-2025 10:00 AM,28-Oct-2025 02:00 PM,"10,000",No,fixed,,Project  Director  HPSHIVA,Shimla,1,DD - Demand Draft,"2,500",Project  Director  HPSHIVA,Shimla,No,"Project Director, HPSHIVA",Project  Director  HPSHIVA Directorate of Horticulture Navbahar Shimla 2 HP,Hiring of vehicle for DOH at Shimla HP,Hiring of vehicle for DOH at Shimla HP,Please refer Tender documents.,,,Miscellaneous Goods,,Tender,180.0,,Shimla,171002.0,Shimla,Project  Director  HPSHIVA Directorate of Horticulture Navbahar Shimla 2 HP,18-Oct-2025 11:00 AM,Shimla,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Technical Qualification Documents,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
