objectid,stcode11,dtcode11,sdtcode11,stname,dtname,sdtname,subdt_lgd,dist_lgd,state_lgd,st_area_sh,st_length_,remarks,ac_no,test,st_area(shape),st_length(shape),NUMPOINTS
1,"02","023","00088",HIMACHAL PRADESH,Chamba,Bhattiyat,88,16,2,0,0,,5,2,369566065.83179,101900.165772201,155
2,"02","023","00092",HIMACHAL PRADESH,Chamba,Bharmour,92,16,2,0,0,,2,3,1334739118.41617,239400.255999689,119
3,"02","023","00090",HIMACHAL PRADESH,Chamba,Chamba,90,16,2,0,0,,3,4,1422633610.75849,195066.808023875,632
4,"02","023","00084",HIMACHAL PRADESH,Chamba,Churah,84,16,2,0,0,,1,5,1652463083.1631,224217.320127462,271
5,"02","023","00087",HIMACHAL PRADESH,Chamba,Dalhousie,87,16,2,0,0,,4,6,228759147.849948,85680.4117119068,130
6,"02","023","00083",HIMACHAL PRADESH,Chamba,Pangi,83,16,2,0,0,,2,7,2154975020.86859,227109.042006914,101
26,"02","027","00128",HIMACHAL PRADESH,Mandi,Kotli,128,22,2,0,0,,33,27,129126832.215954,51894.3447077862,65
7,"02","023","00085",HIMACHAL PRADESH,Chamba,Saluni,85,16,2,0,0,,4,8,507811121.633796,130735.805692238,138
8,"02","023","00089",HIMACHAL PRADESH,Chamba,Sihunta,89,16,2,0,0,,5,9,349575625.184918,114832.672272063,141
9,"02","034","00197",HIMACHAL PRADESH,Kinnaur,Kalpa,197,19,2,0,0,,68,10,516904019.575303,126758.325254008,52
10,"02","034","00198",HIMACHAL PRADESH,Kinnaur,Nichar,198,19,2,0,0,,68,11,1560837406.74511,208287.163951241,112
11,"02","026","00121",HIMACHAL PRADESH,Kullu,Ani,121,20,2,0,0,,25,12,404316169.01988,102910.243447661,170
12,"02","026","00120",HIMACHAL PRADESH,Kullu,Banjar,120,20,2,0,0,,24,13,762330459.295094,143567.466033379,139
13,"02","026","06887",HIMACHAL PRADESH,Kullu,Bhuntar,6887,20,2,0,0,,23,14,2946095136.77835,321805.036652684,229
14,"02","026","00118",HIMACHAL PRADESH,Kullu,Kullu,118,20,2,0,0,,22,15,838817337.716368,166466.991924248,290
15,"02","026","00117",HIMACHAL PRADESH,Kullu,Manali,117,20,2,0,0,,22,16,1077968748.71583,156695.084948603,103
16,"02","026","00122",HIMACHAL PRADESH,Kullu,Nirmand,122,20,2,0,0,,25,17,581451214.149588,134013.235951105,164
17,"02","026","00119",HIMACHAL PRADESH,Kullu,Sainj,119,20,2,0,0,,24,18,1025579712.37702,213026.657953001,109
18,"02","027","00134",HIMACHAL PRADESH,Mandi,Aut,134,22,2,0,0,,30,19,216586648.567702,80804.488980712,91
19,"02","027","00131",HIMACHAL PRADESH,Mandi,Baldwara,131,22,2,0,0,,35,20,135120104.964574,63420.9858559245,109
20,"02","027","06947",HIMACHAL PRADESH,Mandi,Balh,6947,22,2,0,0,,34,21,317510330.903943,131895.823922319,237
21,"02","027","00133",HIMACHAL PRADESH,Mandi,Mandi,133,22,2,0,0,,30,22,489857156.007097,151063.015384757,260
22,"02","027","00137",HIMACHAL PRADESH,Mandi,Chachyot,137,22,2,0,0,,28,23,333950658.991614,110728.226228912,169
23,"02","027","00127",HIMACHAL PRADESH,Mandi,Dharmpur,127,22,2,0,0,,32,24,254177368.928578,117956.043333043,194
24,"02","027","00124",HIMACHAL PRADESH,Mandi,Jogindarnagar,124,22,2,0,0,,31,25,385644077.551024,127466.580568187,220
25,"02","027","00139",HIMACHAL PRADESH,Mandi,Karsog,139,22,2,0,0,,26,26,792377838.008743,156784.52266822,345
27,"02","027","00125",HIMACHAL PRADESH,Mandi,Lad Bharol,125,22,2,0,0,,31,28,117926524.996031,61264.4023870661,75
28,"02","027","00138",HIMACHAL PRADESH,Mandi,Nihri,138,22,2,0,0,,27,29,361088197.132234,113949.957240814,115
29,"02","027","00123",HIMACHAL PRADESH,Mandi,Padhar,123,22,2,0,0,,30,30,573382416.482387,152304.856271558,190
30,"02","027","00126",HIMACHAL PRADESH,Mandi,Sandhol,126,22,2,0,0,,32,31,71120028.7840783,62156.9205071437,6
31,"02","027","00129",HIMACHAL PRADESH,Mandi,Sarkaghat,129,22,2,0,0,,32,32,122958390.114459,71029.2062373338,102
32,"02","027","00132",HIMACHAL PRADESH,Mandi,Sundarnagar,132,22,2,0,0,,27,33,353606627.596808,129709.817008012,230
33,"02","027","00136",HIMACHAL PRADESH,Mandi,Thunag,136,22,2,0,0,,29,34,433806425.630585,123072.061723906,180
34,"02","033","00185",HIMACHAL PRADESH,Shimla,Chaupal,185,23,2,0,0,,60,35,421453024.856704,116174.461113546,132
35,"02","033","00192",HIMACHAL PRADESH,Shimla,Chirgaon,192,23,2,0,0,,67,36,887020529.782519,151283.085148859,175
36,"02","033","00193",HIMACHAL PRADESH,Shimla,Dodra Kwar,193,23,2,0,0,,67,37,486142994.125087,121784.665645608,26
37,"02","033","00188",HIMACHAL PRADESH,Shimla,Jubbal,188,23,2,0,0,,65,38,423899635.013092,131174.56484588,145
38,"02","033","00189",HIMACHAL PRADESH,Shimla,Kotkhai,189,23,2,0,0,,65,39,334382058.907588,83958.2779327983,157
39,"02","033","00179",HIMACHAL PRADESH,Shimla,Kumarsain,179,23,2,0,0,,61,40,302419824.646841,101315.01733461,192
40,"02","033","00186",HIMACHAL PRADESH,Shimla,Bagachnogi,186,23,2,0,0,,60,41,240398517.810547,81307.4970902102,90
41,"02","033","00178",HIMACHAL PRADESH,Shimla,Nankhari,178,23,2,0,0,,66,42,195801143.50189,78727.7816278084,96
42,"02","033","00187",HIMACHAL PRADESH,Shimla,Nerwa,187,23,2,0,0,,60,43,484545476.826257,137059.466355616,167
43,"02","033","00177",HIMACHAL PRADESH,Shimla,Rampur,177,23,2,0,0,,66,44,1166556208.29515,212305.640767951,263
