class,age,male,female
0,0 to 1,460.82,390.36
1,1 to 5,1765.68,1493.14
10,10 to 15,2337.76,1889.88
15,15 to 20,2500.44,2221.82
20,20 to 25,2352.42,2444.78
25,25 to 30,2234.84,2472.57
30,30 to 35,2381.71,2532.01
35,35 to 40,2197.06,2323.7
40,40 to 45,1877.61,2135.87
45,45 to 50,1843.51,2014.58
5,5 to 10,2126.4,1755.93
50,50 to 55,1670.79,1927.29
55,55 to 60,1652.6,1640.86
60,60 to 65,1245.28,1234.8
65,65 to 70,969.76,974.23
70,70 to 75,621.36,761.01
75,75 to 80,471.88,582.61
80,80 and over,439.63,646.97
