class,age,male,female
0,0 to 1,299.09,264.93
1,1 to 5,1145.99,1013.37
10,10 to 15,1664.97,1479.98
15,15 to 20,1752.19,1595.04
20,20 to 25,1858.77,1677.65
25,25 to 30,1763.83,1563.71
30,30 to 35,1721.78,1511.37
35,35 to 40,1542.53,1383.51
40,40 to 45,1346.13,1288.3
45,45 to 50,1204.73,1135.01
5,5 to 10,1509.95,1344.61
50,50 to 55,1097.42,1057.19
55,55 to 60,949.84,815.25
60,60 to 65,692.62,675.82
65,65 to 70,490,486.83
70,70 to 75,315.04,345.38
75,75 to 80,232.58,240.76
80,80 and over,190.49,225.71
