class,age,male,female
0,0 to 1,111.74,103.59
1,1 to 5,428.03,396
10,10 to 15,541.77,546.47
15,15 to 20,579.85,525.22
20,20 to 25,991.63,619.63
25,25 to 30,1108.02,665.37
30,30 to 35,1003.98,661.19
35,35 to 40,906.19,604.06
40,40 to 45,794.36,554.05
45,45 to 50,643.96,525.96
5,5 to 10,536.72,498.58
50,50 to 55,496.39,456.28
55,55 to 60,413.75,354.67
60,60 to 65,273.96,294.97
65,65 to 70,199.83,226.79
70,70 to 75,135.38,183.87
75,75 to 80,120.34,167.95
80,80 and over,115.14,186.19
