class,age,male,female
0,0 to 1,249.67,216.01
1,1 to 5,956.63,826.22
10,10 to 15,1292.9,1071.13
15,15 to 20,1386.32,1238.17
20,20 to 25,1226.38,1345.89
25,25 to 30,1108.52,1355.66
30,30 to 35,1222.62,1437.31
35,35 to 40,1166.97,1337.81
40,40 to 45,1022.69,1210.69
45,45 to 50,955.16,1130.06
5,5 to 10,1179.52,991.66
50,50 to 55,901.48,1106.71
55,55 to 60,881.29,959.18
60,60 to 65,697.79,739.96
65,65 to 70,549.84,583.32
70,70 to 75,357.34,493.63
75,75 to 80,280.64,374.06
80,80 and over,293.08,506.88
