class,age,male,female
0,0 to 1,146.99,124.51
1,1 to 5,563.21,476.26
10,10 to 15,745.7,602.81
15,15 to 20,797.6,708.71
20,20 to 25,750.37,779.85
25,25 to 30,712.87,788.74
30,30 to 35,759.74,807.72
35,35 to 40,700.86,741.28
40,40 to 45,598.95,681.34
45,45 to 50,588.08,642.67
5,5 to 10,678.27,560.08
50,50 to 55,532.99,614.82
55,55 to 60,527.19,523.46
60,60 to 65,397.26,393.92
65,65 to 70,309.37,310.8
70,70 to 75,198.23,242.78
75,75 to 80,150.54,185.87
80,80 and over,140.25,206.4
