class,age,male,female
0,0 to 1,370.94,342.53
1,1 to 5,1421.32,1310.19
10,10 to 15,1820.2,1680.45
15,15 to 20,1843.26,1781.71
20,20 to 25,1859.21,1818.25
25,25 to 30,1730.44,1609.67
30,30 to 35,1665.63,1525.31
35,35 to 40,1403.33,1337.82
40,40 to 45,1232.99,1315.89
45,45 to 50,1124.87,1151.98
5,5 to 10,1730.73,1563.48
50,50 to 55,999.89,1099.02
55,55 to 60,917.23,850.54
60,60 to 65,628.69,637.14
65,65 to 70,473.87,489.67
70,70 to 75,291.64,350.71
75,75 to 80,201.9,235.62
80,80 and over,184.18,251.07
