class,age,male,female
0,0 to 1,853.61,723.21
1,1 to 5,3270.71,2766.26
10,10 to 15,4330.19,3501.37
15,15 to 20,4631.13,4115.63
20,20 to 25,4357.45,4528.11
25,25 to 30,4139.52,4578.74
30,30 to 35,4410.91,4688.35
35,35 to 40,4068.43,4302.41
40,40 to 45,3477.01,3954.95
45,45 to 50,3413.56,3730.03
5,5 to 10,3938.98,3253.21
50,50 to 55,3093.67,3568.41
55,55 to 60,3059.72,3037.76
60,60 to 65,2305.35,2286.01
65,65 to 70,1795.23,1803.57
70,70 to 75,1150.23,1408.71
75,75 to 80,873.44,1078.35
80,80 and over,813.73,1197.44
