class,age,male,female
0,0 to 1,490.22,439.23
1,1 to 5,1878.35,1680.06
10,10 to 15,2387.64,2117.44
15,15 to 20,2562.29,2307.23
20,20 to 25,2679.91,2347.1
25,25 to 30,2461.28,2140.98
30,30 to 35,2334.85,2011.57
35,35 to 40,2103.53,1829.78
40,40 to 45,1783.25,1676.27
45,45 to 50,1528.44,1461.56
5,5 to 10,2250.47,1961.91
50,50 to 55,1418.72,1377.58
55,55 to 60,1222.52,1065.5
60,60 to 65,898.7,828.97
65,65 to 70,635.08,594.37
70,70 to 75,421.7,434.99
75,75 to 80,277.69,278.13
80,80 and over,254.78,265.24
