class,age,male,female
0,0 to 1,179.59,165.88
1,1 to 5,688.13,634.48
10,10 to 15,881.49,814.21
15,15 to 20,893.04,862.81
20,20 to 25,901.65,879.36
25,25 to 30,838.88,776.54
30,30 to 35,805.16,734.12
35,35 to 40,677.3,643.57
40,40 to 45,595.61,633.89
45,45 to 50,542.33,553.77
5,5 to 10,838.48,757.5
50,50 to 55,481.53,527.66
55,55 to 60,440.42,407.52
60,60 to 65,301.77,306.28
65,65 to 70,227.81,235.15
70,70 to 75,139.97,167.64
75,75 to 80,96.34,112.02
80,80 and over,88.14,119.47
