class,age,male,female
0,0 to 1,350.74,310.89
1,1 to 5,1343.9,1189.15
10,10 to 15,1937.7,1706.6
15,15 to 20,2180.71,1960.99
20,20 to 25,2559.19,2256.69
25,25 to 30,2515.32,2184.75
30,30 to 35,2504.11,2155.36
35,35 to 40,2241.41,1959.71
40,40 to 45,1977.6,1861.2
45,45 to 50,1778.73,1638.84
5,5 to 10,1740.12,1550.99
50,50 to 55,1612.44,1523.74
55,55 to 60,1395.95,1146.86
60,60 to 65,891.25,836.14
65,65 to 70,656.96,644.91
70,70 to 75,436.6,474.37
75,75 to 80,335.07,345.62
80,80 and over,288.35,333.84
