class,age,male,female
0,0 to 1,263.02,230.91
1,1 to 5,1007.79,883.22
10,10 to 15,1336.33,1185.44
15,15 to 20,1414.13,1315.16
20,20 to 25,1407.56,1385.39
25,25 to 30,1366.17,1367.09
30,30 to 35,1462.35,1432.31
35,35 to 40,1316.6,1298.91
40,40 to 45,1082.74,1187.83
45,45 to 50,999.66,1079.37
5,5 to 10,1211.92,1077.93
50,50 to 55,917.15,1047.7
55,55 to 60,852.16,857.64
60,60 to 65,628.18,646.86
65,65 to 70,457.54,481.94
70,70 to 75,302.2,383.09
75,75 to 80,249.2,305.45
80,80 and over,240.15,362.25
