class,age,male,female
0,0 to 1,195.41,179.62
1,1 to 5,748.74,687.05
10,10 to 15,960.64,880.62
15,15 to 20,975.91,938.77
20,20 to 25,980.37,962.17
25,25 to 30,913.53,858.98
30,30 to 35,884.7,818.38
35,35 to 40,749.82,720.19
40,40 to 45,657.57,704.89
45,45 to 50,602.97,620.47
5,5 to 10,911.17,819.27
50,50 to 55,536.73,592.06
55,55 to 60,495.16,461.69
60,60 to 65,342.02,345.98
65,65 to 70,258.53,266.49
70,70 to 75,159.68,192.34
75,75 to 80,111.51,130.89
80,80 and over,101.94,140.08
