class,age,male,female
0,0 to 1,666.63,566.52
1,1 to 5,2554.3,2166.94
10,10 to 15,3448.27,2761.88
15,15 to 20,3708.59,3220.84
20,20 to 25,3485.98,3340.26
25,25 to 30,3185.83,3350.92
30,30 to 35,3314.62,3376.96
35,35 to 40,3161.86,3183.57
40,40 to 45,2816.41,2875.89
45,45 to 50,2504.45,2598.82
5,5 to 10,3142.75,2593.85
50,50 to 55,2265.15,2424.47
55,55 to 60,2130.01,2063.43
60,60 to 65,1655.48,1651.01
65,65 to 70,1268.66,1309.97
70,70 to 75,835.21,1065.58
75,75 to 80,667.8,802.35
80,80 and over,651.26,1021.94
