CId,circle,ENTRY_DATE,status,entry_by,ipadd,department_id,circletype,,
1,Chamba,NULL,Active,0,NULL,"12,22,39",IPH,,
2,Nurpur,31:45.6,Active,0,NULL,"12,39",IPH,,
3,Dharmshala,32:02.7,Active,0,NULL,"12,22,39",IPH,,
4,Una,32:08.8,Active,0,NULL,"12,34,39","Power, IPH",,
5,Bilaspur,32:14.6,Active,0,NULL,"12,22,34,39","Power,IPH",,
6,Hamirpur,32:24.1,Active,0,NULL,"12,22,34,39","Power,IPH",,
7,Sundernagar,32:59.1,Active,0,NULL,"12,39",IPH,,
8,Kullu,33:05.8,Active,0,NULL,"12,22,34,39","Power, IPH",,
9,Reckong Peo ,33:12.8,Active,0,NULL,"12,39",IPH,,
10,Rohroo,33:24.6,Active,0,NULL,"12,34","Power,IPH",,
11,Shimla-9,33:29.6,Active,0,NULL,"12,39","IPH,Power",,
12,Solan,33:38.0,Active,0,NULL,"12,22,34,39","Power,IPH",,
13,Nahan,33:43.8,Active,0,NULL,"12,22,34,39","Power,IPH",,
14,SRFMP Una,33:53.1,Active,0,NULL,12,IPH,,
1002,Swan River Channelization Project ,51:24.3,Active,0,NULL,"12,",IPH,,
1003,Rampur,31:29.9,Active,0,NULL,"22,34",Power,,
1004,Kangra,39:36.8,Active,0,NULL,34,Power,,
1005,Dalhousie,53:29.3,Active,0,NULL,34,Power,,
1006,Mandi,02:41.4,Active,0,NULL,"22,34",Power,,
1007,"3RD CIRCLE, SOLAN",16:25.6,Active,0,NULL,38,pwd,,
1008,4TH CIRCLE  SHIMLA,16:47.6,Active,0,NULL,38,pwd,,
1009,"  11TH CIRCLE, RAMPUR",16:55.3,Active,0,NULL,38,pwd,,
1010,12TH CIRCLE  NAHAN,17:05.6,Active,0,NULL,38,pwd,,
1011,14TH CIRCLE ROHRU,17:12.9,Active,0,NULL,38,pwd,,
1012,Ist CIRCLE-Mandi ,17:25.1,Active,0,NULL,38,pwd,,
1013,6th CIRCLE KULLU,17:33.2,Active,0,NULL,38,pwd,,
1014,JOGINDERNAGAR CIRCLE,17:41.7,Active,0,NULL,38,pwd,,
1015,8th CIRCLE HAMIRPUR,17:49.5,Active,0,NULL,38,pwd,,
1016,15TH CIRCLE UNA,17:56.1,Active,0,NULL,38,pwd,,
1017,10th CIRCLE BILASPUR,18:06.5,Active,0,NULL,38,pwd,,
1018,5TH CIRCLE PALAMPUR,18:12.2,Active,0,NULL,38,pwd,,
1019,"9TH CIRCLE, NURPUR",18:19.5,Active,0,NULL,38,pwd,,
1020,"7TH CIRCLE, DALHOUSIE",18:26.1,Active,0,NULL,38,pwd,,
1021,NH CIRCLE SHIMLA,18:33.5,Active,0,NULL,38,pwd,,
1022,NH CIRCLE SHAHPUR,55:47.3,Active,0,NULL,38,pwd,,
1023,GHNP Kullu,29:44.4,Active,0,NULL,22,NULL,,
1024,Shimla,30:59.1,Active,0,NULL,"22,34",Power,,
1025,W L North Dharamshala,31:43.7,Active,0,NULL,22,IPH,,
1026,WL South Shimla,32:18.1,Active,0,NULL,22,IPH,,
1028,Dharampur,41:34.8,Active,0,NULL,"12,22,34,39,38",pwd,,
1029,Dharampur,31:45.6,Active,0,NULL,43,IPH,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
