crop_id,crop_name,status,entry_by,entry_date,ip_addr
1,Maize,Active,0,52:33.6,122.176.47.24
2,Paddy,Active,0,52:58.8,122.176.47.24
3,Ragi,Active,0,53:13.5,122.176.47.24
4,Milets,Active,0,53:31.8,122.176.47.24
5,Pulses,Active,0,57:59.3,122.176.47.24
6,Vegitables,Active,0,59:10.9,122.176.47.24
7,Potato,Active,0,59:19.8,122.176.47.24
8,Ginger,Active,0,59:32.8,122.176.47.24
9,Oil Seeds,Active,0,59:45.0,122.176.47.24
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
