,human lives lost - missing,District,Total,Male,Female,Children Details,,,,,,Date
0,,Hojai,1,1,0,"0 (Doboka | 0), (Hojai | 1), (Lanka | 0)",,,,,,17-06-2022
1,,Total,1,1,0,0,,,,,,17-06-2022
