,human lives lost - missing,District,Total,Male,Female,Children,Details,,,,,Date
0,,Darrang,1,1,0,0,"(Dalgaon | 0), (Mangaldoi | 0), (Patharighat | 0), (Sipajhar | 1)",,,,,26-06-2022
1,,Dhubri,1,1,0,0,"(Athani | 0), (Bilasipara | 0), (Dhubri | 1), (Gauripur | 0), (South Salmara Part | 0)",,,,,26-06-2022
2,,Total,2,2,0,0,,,,,,26-06-2022
