,human lives lost - missing,District,Total,Male,Female,Children,Details,,,,,Date
0,,Bajali,1,1,0,0,"(Bajali | 1), (Sarupeta | 0)",,,,,18-06-2022
1,,Hojai,4,0,1,3,"(Doboka | 0), (Hojai | 4), (Lanka | 0)",,,,,18-06-2022
2,,Karbi Anglong West,1,1,0,0,(Donkamokam | 1),,,,,18-06-2022
3,,Kokrajhar,1,1,0,0,"(Bagribari | 1), (Bhawraguri | 0), (Dotma | 0), (Gossaigaon | 0), (Kokrajhar | 0)",,,,,18-06-2022
4,,Tamulpur,1,1,0,0,"(Goreswar | 1), (Tamulpur | 0)",,,,,18-06-2022
5,,Total,8,4,1,3,,,,,,18-06-2022
