,human lives lost - missing,District,Total,Male,Female,Children Details,,,,,,Date
0,,Nagaon,1,1,0,"0 (Kampur | 0), (Nagaon | 0), (Raha | 1)",,,,,,26-05-2022
1,,Total,1,1,0,0,,,,,,26-05-2022
