,human lives lost - missing,District,Total,Male,Female,ChildrenRevenue Circlewise,,,,,,Date
0,,Cachar,3,1,0,"2(Katigorah | 1), (Lakhipur | 0), (Silchar | 2), (Sonai | 0), (Udharbond | 0)",,,,,,16-05-2022
1,,Total,3,1,0,2,,,,,,16-05-2022
