,human lives lost - missing,DistrictTotalMaleFemaleChildrenRevenue Circlewise,,,,,,,,,,Date
0,,"Nagaon1100(Kampur | 1), (Raha | 0)",,,,,,,,,,17-05-2022
1,,Total1100,,,,,,,,,,17-05-2022
